"location","GEO_id","year","treat","switcher","switcher2","year_switch","multi","single","l.multi","l.single","l.total","pct_asian","pct_black","pct_hisp","pct_wnh","max.group","min.group","prop_asian_elected_past12","prop_black_elected_past12","prop_latino_elected_past12","prop_white_elected_past12","prop_min_elected_past12","H_citytract_NHW","population.th","own_rate","vacancy_rate","med_value.th","med_income.th","density"
"AGOURA HILLS",600394,2019,0,0,0,NA,0,3,0,1.38629436111989,1.38629436111989,7.76666666666667,1.23333333333333,8.7,75.6079667107062,"white","none",0,0,0.0833333333333333,0.916666666666667,NA,0.020481098,20.687,0.76792349244345,0.04779716759262,739.033333333333,117.620333333333,2608.7
"ALAMEDA",600562,2010,0,0,0,NA,0,16,0,2.83321334405622,2.83321334405622,27,5.5,9.1,45.0063437775816,"white","asian",0.0833333333333333,0,0,0.916666666666667,0.0833333333333333,0.041650463,72.512,0.517837010230357,0.0758583555048777,662.3,74.221,6956.3
"ALAMEDA",600562,2011,0,0,0,NA,0,24,0,3.2188758248682,3.2188758248682,27.8,6.5,9.3,43.2925080899521,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,73.239,0.523310039438179,0.0772476365712835,642.2,75.832,6956.3
"ALAMEDA",600562,2012,0,0,0,NA,0,0,0,0,0,26.4,6.6,9.8,43.6175242829931,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,74.023,0.517401487447097,0.0701433748227509,628.6,77.249,6956.3
"ALAMEDA",600562,2013,0,0,0,NA,36,1,3.61091791264422,0.693147180559945,3.63758615972639,26.8,7,10.1,42.9696062444866,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,74.818,0.511436822908899,0.0715153781434047,618.8,74.606,6956.3
"ALAMEDA",600562,2014,0,0,0,NA,52,5,3.97029191355212,1.79175946922805,4.06044301054642,26.4,7.6,9.4,43.7350685690905,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,75.763,0.50563378394673,0.0565814835540633,628.5,76.439,6956.3
"ALAMEDA",600562,2015,0,0,0,NA,63,118,4.15888308335967,4.77912349311153,5.2040066870768,26,7.5,9.8,43.4663052402487,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,76.733,0.502574556236515,0.0476367696315594,639.7,79.312,6956.3
"ALAMEDA",600562,2016,0,0,0,NA,31,59,3.46573590279973,4.0943445622221,4.51085950651685,25.6,7.8,9.5,42.9782066684752,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,77.409,0.498419236773406,0.0516553834739868,677,83.048,6956.3
"ALAMEDA",600562,2017,0,0,0,NA,10,46,2.39789527279837,3.85014760171006,4.04305126783455,25.9,7.9,9.1,42.7229506939652,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,78.246,0.499221204018587,0.056364533843401,729.1,89.045,6956.3
"ALAMEDA",600562,2018,0,0,0,NA,0,31,0,3.46573590279973,3.46573590279973,25.9,7.5,9.3,42.7646504040172,"white","asian",0.166666666666667,0,0,0.833333333333333,0.166666666666667,0.041650463,78.462,0.509816864039345,0.0555503716836179,797.3,98.15,6956.3
