GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",478,103,316,93,259,83,57,48,30,36,27,32,162,68,137,66,25,22
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",360,98,258,91,192,82,66,50,24,37,42,40,102,52,87,52,15,17
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",278,81,206,75,173,68,33,37,4,8,29,36,72,54,72,54,0,12
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",526,85,413,83,390,84,23,18,0,12,23,18,113,48,95,44,18,21
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",331,78,244,77,199,72,45,32,21,23,24,22,87,45,45,37,42,31
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",288,95,202,83,156,69,46,51,0,12,46,51,86,64,86,64,0,12
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",778,164,396,142,283,124,113,67,11,19,102,64,382,116,300,110,82,52
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",221,65,156,63,116,59,40,27,6,11,34,30,65,35,56,36,9,15
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",448,82,296,72,227,68,69,37,22,20,47,32,152,65,141,59,11,15
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",359,76,273,80,249,82,24,22,14,16,10,16,86,52,33,21,53,47
