GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",281,71,150,47,129,47,21,24,0,12,21,24,131,60,84,65,47,53
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",363,126,246,103,168,71,78,84,15,24,63,81,117,94,75,86,42,41
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",376,109,224,100,175,95,49,41,38,37,11,17,152,74,116,64,36,35
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",392,143,203,88,110,55,93,73,80,72,13,20,189,119,160,116,29,32
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",499,84,315,75,253,67,62,48,23,27,39,40,184,67,113,53,71,43
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",502,81,322,86,259,74,63,44,29,30,34,28,180,65,137,60,43,30
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",333,102,151,89,138,88,13,20,13,20,0,12,182,94,116,71,66,68
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",173,54,115,55,89,51,26,29,0,12,26,29,58,35,58,35,0,12
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",247,93,202,80,148,55,54,67,36,59,18,28,45,56,45,56,0,12
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",333,95,211,73,159,66,52,58,0,12,52,58,122,79,78,66,44,52
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",638,152,396,135,293,112,103,89,10,18,93,92,242,99,197,93,45,68
