,(1),(2),(3),,(4),,(5)
Single-member districts,0.029,−0.925∗,−1.420∗∗,−,1.101∗∗,−,1.348∗∗
,(0.501),(0.445),(0.445),,(0.347),,(0.475)
SMD∗High majority population,0.293,0.808,0.548,,0.805,,0.216
,(0.707),(0.420),(0.420),,(0.429),,(0.571)
Population (thousands),,,,,0.088,−,0.004
,,,,,(0.060),,(0.088)
Vacancy rate,,,,,25.965,,36.532
,,,,(,15.424),(,22.760)
Home ownership rate,,,,,5.016,,3.863
,,,,,(7.529),,(8.143)
Median home value (thousands),,,,−,0.011,−,0.010
,,,,,(0.006),,(0.009)
Median income (thousands),,,,−,0.013,−,0.001
,,,,,(0.068),,(0.079)
Past minority representation,,,,−,0.741,,1.908
,,,,,(1.943),,(2.757)
City FE,No,Yes,Yes,,Yes,,Yes
Year FE,No,Yes,Yes,,Yes,,Yes
City-specific Trends,No,No,Yes,,No,,Yes
Observations,397,397,397,,397,,397
R2,0.002,0.507,0.603,0,.524,0,.611
,,,∗,,∗∗ ∗∗,∗,
