,(1),(2),(3),(4),(5)
Single-member districts,0.158,−0.655,−1.303∗∗ −,0.767,−1.292∗
,(0.533),(0.460),(0.460),(0.442),(0.592)
SMD∗Low majority control,0.185,0.534,0.544,0.497,0.362
,(0.781),(0.509),(0.509),(0.559),(0.883)
Population (thousands),,,,0.088,−0.094
,,,,(0.058),(0.121)
Vacancy rate,,,,27.737,20.807
,,,(,15.904),(26.374)
Home ownership rate,,,,4.130,10.044
,,,,(7.370),(10.793)
Median home value (thousands),,,−,0.009,−0.015
,,,,(0.005),(0.009)
Median income (thousands),,,,0.036,0.015
,,,,(0.061),(0.082)
Past minority representation,,,−,0.590,0.646
,,,,(1.708),(2.543)
City FE,No,Yes,Yes,Yes,Yes
Year FE,No,Yes,Yes,Yes,Yes
City-specific Trends,No,No,Yes,No,Yes
Observations,397,397,397,397,397
R2,0.002,0.525,0.607 0,.538,0.615
,,,∗ ∗,∗,∗∗∗
