city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,architectureVote,architectureApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,,,,,,,
Santa Barbara,MST2013-00022,240 W Alamar Avenue,0,4,0,4,3,0,3,1,2014-07-17,1,2014-08-18,1,,,2014-11-17,2014,0,"Teardown single family home, build 4 price restricted units",,,,,,,
Santa Barbara,MST2014-00086,1829 Mira Vista Rd,0,0,0,0,0,0,0,0,2015-02-19,1,2015-04-08,1,,,2015-04-08,2015,0,Conversion from apt to condo,,,,,,,
Santa Barbara,MST2015-00037,102 La Marina Drive,0,1,1,0,0,0,0,0,2015-05-07,1,,,,,2015-05-07,2015,0,,,,,,,,
Santa Barbara,MST2014-00411,2321 Edgewater Way,0,1,1,0,0,0,0,0,2015-11-05,1,2016-05-16,1,,,2016-07-05,2016,0,,,,,,,,
Santa Barbara,MST2007-00470,505 W Los Olivos St,0,13,0,13,6,0,6,0,2017-05-18,1,2017-05-22,1,,,2017-05-30,2017,1,Original approved in 2009,,,,,,,
Santa Barbara,MST2016-00447,214 E De La Guerra St,0,26,0,26,24,0,24,0,2017-07-06,1,2017-09-06,1,,,2017-12-13,2017,0,,,,,,,,
Santa Barbara,MST2016-00327,1201 Del Oro Avenue,0,1,1,0,0,0,0,0,2018-02-01,1,,,,,2018-02-01,2018,0,,,,,,,,
Santa Barbara,MST2017-00097,408 N Hope Ave,0,0,0,0,0,0,0,0,2018-05-10,1,,,,,2018-05-10,2018,0,Just lot subdivision,,,,,,,
Santa Barbara,,110 Bodega Lane,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,98 Hitchcock Way,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,3826 Via Lucero,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,400 Samarkand Dr,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,230 Constance Ave,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,100 W Padre St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,2235 Castillo St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1900 Chapala St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1700 Chapala St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,399 W Islay St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,600 W Valerio St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1315 San Pascual St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,499 W Sola St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1300 De La Vina St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,299 W Figueroa St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,899 San Pascual St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,765 W Ortega St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,620 W Gutierrez St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,299 W Haley St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,315 W De La Guerra St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1001 State St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1400 Garden St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,300 E Cota St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1000 N Nopal St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,500 N Nopal St,1,14,0,14,14,0,14,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,100 N Nopal St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,999 Alphonse St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
Santa Barbara,,1211 Punta Gorda St,1,7,0,7,7,0,7,0,,1,,,,1,,2013,0,,,,,,,,
