Mean,(treated) Mean,(control) Std. mean,difference
omeownership rate,0.06,0.07,-0.04
rcent voted in 2002,0.38,0.39,-0.05
non-Hispanic white,0.31,0.36,-0.16
non-Hispanic Black,0.10,0.08,0.08
Percent Hispanic,0.38,0.35,0.10
Vacancy rate,0.05,0.05,0.02
(pop./km-squared),22271.75,16211.35,0.36
