"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"00947",2018,5,0,0,30225,0,2,0,0,0,2,0,0,0,1,0,0
"01444",2000,4,0,0,2209,0,3,0,0,0,3,0,0,0,1,0,0
"01444",2002,3,0,0,1272,0,1,0,0,0,1,0,0,0,1,0,0
"01444",2004,6,0,0,2222,0,3,0,0,0,3,0,0,0,1,0,0
"01444",2006,4,0,0,1803,0,2,0,0,0,2,0,0,0,1,0,0
"01444",2010,3,0,0,1633,0,2,0,0,0,2,0,0,0,1,0,0
"01444",2012,4,0,0,1621,0,3,0,0,0,3,0,0,0,1,0,0
"01444",2014,4,0,0,1418,0,2,0,0,0,2,0,0,0,1,0,0
"01444",2018,3,0,0,1089,0,2,0,0,0,2,0,0,0,1,0,0
"01514",1998,5,0,0,165,0,2,0,0,0,2,0,0,0,1,0,0
"01514",2000,6,0,0,241,0,3,0,0,0,3,0,0,0,1,0,0
"01514",2002,2,0,0,88,0,2,0,0,0,2,0,0,0,1,0,0
"01514",2004,5,0,0,377,0,4,0,0,0,4,0,0,0,1,0,0
"01514",2006,2,0,0,108,0,2,0,0,0,2,0,0,0,1,0,0
"01514",2008,2,1,1,153,72,2,1,0,0,1,0.5,0,0,0.5,0.5,0.470588235294118
"01514",2010,2,1,1,95,43,2,1,0,0,1,0.5,0,0,0.5,0.5,0.452631578947368
"01514",2012,3,0,0,232,0,3,0,0,0,3,0,0,0,1,0,0
"01514",2016,4,0,0,291,0,3,0,0,0,3,0,0,0,1,0,0
"01514",2018,2,0,0,134,0,1,0,0,0,1,0,0,0,1,0,0
"01640",1998,6,0,0,7006,0,3,0,0,0,3,0,0,0,1,0,0
"01640",2000,3,0,0,5002,0,2,0,0,0,2,0,0,0,1,0,0
"01640",2002,10,2,2,6748,1731,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.256520450503853
"01640",2004,10,1,1,8360,495,2,0,0,0,2,0,0,0,1,0.5,0.0592105263157895
"01640",2006,13,0,0,8071,0,3,0,0,0,3,0,0,0,1,0,0
"01640",2008,4,0,0,9081,0,2,0,0,0,2,0,0,0,1,0,0
"01640",2010,4,0,0,7340,0,2,0,0,1,1,0,0,0.5,0.5,0,0
"01640",2012,5,0,0,10748,0,2,0,0,0,2,0,0,0,1,0,0
"01640",2016,4,0,0,10946,0,2,0,0,0,2,0,0,0,1,0,0
"01640",2018,5,1,1,10997,2267,2,0,0,1,0,0,0,0.5,0,0.5,0.206147131035737
"02000",1998,7,0,0,86479,0,2,0,0,0,2,0,0,0,1,0,0
"02000",2000,2,0,0,81796,0,2,0,0,0,2,0,0,0,1,0,0
"02000",2002,11,4,2,81584,37254,2,2,0,0,0,1,0,0,0,1,0.45663365365758
"02000",2004,13,1,1,131942,5068,2,0,1,0,1,0,0.5,0,0.5,0.5,0.038410816874081
"02000",2006,7,3,2,90022,48791,2,1,0,0,1,0.5,0,0,0.5,1,0.54198973584235
"02000",2008,10,3,2,140518,20851,2,0,1,0,1,0,0.5,0,0.5,1,0.148386683556555
"02000",2010,14,5,2,107561,31516,2,0,0,0,2,0,0,0,1,1,0.293005829250379
"02000",2012,9,3,2,137189,41655,2,0,0,0,2,0,0,0,1,1,0.303632215410857
"02000",2014,8,3,2,78324,17685,2,0,0,0,2,0,0,0,1,1,0.225792860425923
"02000",2016,20,10,4,52838,21352,4,1,0,0,3,0.25,0,0,0.75,1,0.404103107611946
"02000",2018,11,1,1,45306,5905,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.130335937844877
"02042",1998,4,0,0,3972,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2000,5,0,0,5103,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2002,3,0,0,2726,0,2,0,0,0,2,0,0,0,1,0,0
"02042",2004,6,0,0,6679,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2006,3,0,0,3394,0,2,0,0,0,2,0,0,0,1,0,0
"02042",2008,4,0,0,6558,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2010,3,0,0,3266,0,2,0,0,0,2,0,0,0,1,0,0
"02042",2012,5,0,0,6095,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2014,3,0,0,3127,0,2,0,0,0,2,0,0,0,1,0,0
"02042",2016,4,0,0,6674,0,3,0,0,0,3,0,0,0,1,0,0
"02042",2018,2,0,0,3654,0,2,0,0,0,2,0,0,0,1,0,0
"02112",1998,5,0,0,1965,0,2,0,0,0,2,0,0,0,1,0,0
"02112",2000,4,0,0,2922,0,3,0,0,0,3,0,0,0,1,0,0
"02112",2002,4,0,0,2005,0,2,0,0,0,2,0,0,0,1,0,0
"02112",2004,4,0,0,3719,0,3,0,0,0,3,0,0,0,1,0,0
"02112",2006,4,0,0,2538,0,2,0,0,0,2,0,0,0,1,0,0
"02112",2008,4,0,0,3863,0,3,0,0,0,3,0,0,0,1,0,0
"02112",2009,3,0,0,1118,0,1,0,0,0,1,0,0,0,1,0,0
"02112",2014,3,0,0,1924,0,2,0,0,0,2,0,0,0,1,0,0
"02112",2018,5,0,0,3031,0,2,0,0,0,2,0,0,0,1,0,0
"02252",1998,6,1,1,38058,6991,2,0,0,1,1,0,0,0.5,0.5,0.5,0.183693310210731
"02252",2000,5,0,0,44297,0,2,0,0,0,2,0,0,0,1,0,0
"02252",2002,6,1,1,32063,4773,2,0,0,1,1,0,0,0.5,0.5,0.5,0.148863175622992
"02252",2004,7,1,1,50786,9973,2,0,0,0,2,0,0,0,1,0.5,0.196373016185563
"02252",2006,5,1,1,30616,6380,2,0,0,2,0,0,0,1,0,0.5,0.208387771100078
"02252",2008,3,1,1,44785,15254,2,1,0,0,1,0.5,0,0,0.5,0.5,0.340605113319192
"02252",2010,5,0,0,37976,0,2,0,0,1,1,0,0,0.5,0.5,0,0
"02252",2012,5,1,1,47512,11795,2,1,0,1,0,0.5,0,0.5,0,0.5,0.248253072907897
"02252",2014,8,2,2,27317,8081,2,1,0,0,1,0.5,0,0,0.5,1,0.295823113811912
"02252",2016,6,1,1,49227,10318,2,0,0,2,0,0,0,1,0,0.5,0.20960042253235
"02252",2018,6,1,1,45023,8589,2,0,0,0,2,0,0,0,1,0.5,0.190769162428092
"02364",1998,11,1,1,35000,3985,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.113857142857143
"02364",1999,5,0,0,21244,0,3,0,0,0,3,0,0,0,1,0,0
"02364",2002,8,1,1,34698,4063,3,0,0,0,3,0,0,0,1,0.333333333333333,0.117096086229754
"02364",2004,6,0,0,37614,0,2,0,0,0,2,0,0,0,1,0,0
"02364",2006,14,2,2,42127,3751,3,0,0,0,3,0,0,0,1,0.666666666666667,0.089040282953925
"02364",2008,9,0,0,40439,0,2,0,0,0,2,0,0,0,1,0,0
"02364",2010,8,0,0,45433,0,3,0,0,0,3,0,0,0,1,0,0
"02364",2012,9,0,0,36365,0,2,0,0,0,2,0,0,0,1,0,0
"02364",2014,7,1,1,36407,2049,3,0,0,0,3,0,0,0,1,0.333333333333333,0.0562803856401242
"02364",2016,7,1,1,42365,2614,2,0,0,0,2,0,0,0,1,0.5,0.0617018765490381
"02364",2018,12,5,3,57469,20880,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,1,0.363326315056813
"02462",2004,4,0,0,11377,0,2,0,0,0,2,0,0,0,1,0,0
"02462",2006,7,0,0,22365,0,3,0,0,0,3,0,0,0,1,0,0
"02462",2008,3,0,0,6414,0,2,0,0,0,2,0,0,0,1,0,0
"02462",2010,6,0,0,19268,0,3,0,0,0,3,0,0,0,1,0,0
"02462",2012,5,1,1,12404,873,2,0,0,0,2,0,0,0,1,0.5,0.0703805224121251
"02462",2014,5,0,0,15260,0,3,0,1,0,2,0,0.333333333333333,0,0.666666666666667,0,0
"02462",2016,6,0,0,15745,0,2,0,0,0,2,0,0,0,1,0,0
"02462",2018,5,0,0,3896,0,2,0,0,0,2,0,0,0,1,0,0
"02476",1998,3,0,0,8357,0,2,0,0,0,2,0,0,0,1,0,0
"02476",2000,7,1,1,17728,2783,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.156983303249097
"02476",2002,6,0,0,9973,0,2,0,0,0,2,0,0,0,1,0,0
"02476",2004,10,1,1,21050,1031,3,0,0,0,3,0,0,0,1,0.333333333333333,0.048978622327791
"02476",2005,6,1,1,3035,26,1,0,0,0,1,0,0,0,1,1,0.0085667215815486
"02476",2006,8,0,0,11846,0,2,0,0,0,2,0,0,0,1,0,0
"02476",2008,6,2,2,19492,4837,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.248153088446542
"02476",2010,7,1,1,11096,650,2,0,0,0,2,0,0,0,1,0.5,0.0585796683489546
"02476",2012,3,1,1,13297,4731,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.355794540121832
"02476",2014,7,1,1,10170,903,3,0,0,0,3,0,0,0,1,0.333333333333333,0.0887905604719764
"02476",2016,5,1,1,16572,4755,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.286929761042723
"02476",2018,3,0,0,10936,0,2,0,0,0,2,0,0,0,1,0,0
"02553",2010,22,1,1,69051,5331,7,1,0,0,6,0.142857142857143,0,0,0.857142857142857,0.142857142857143,0.0772038058826085
"02868",1998,4,0,0,10076,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2000,4,0,0,12590,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2002,4,0,0,10782,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2004,4,0,0,13453,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2006,3,0,0,9836,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2010,4,0,0,11018,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2014,3,0,0,9758,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2016,5,0,0,15798,0,2,0,0,0,2,0,0,0,1,0,0
"02868",2018,5,0,0,15088,0,2,0,0,0,2,0,0,0,1,0,0
"02896",2007,6,2,2,3808,1192,3,1,1,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.313025210084034
"02896",2009,4,0,0,2243,0,3,0,1,0,2,0,0.333333333333333,0,0.666666666666667,0,0
"02896",2013,6,0,0,3889,0,3,0,2,0,1,0,0.666666666666667,0,0.333333333333333,0,0
"02896",2018,5,1,1,8627,1823,3,1,1,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.211313318650748
"02924",2000,2,1,1,1592,819,1,1,0,0,0,1,0,0,0,1,0.514447236180904
"02924",2002,11,7,3,3009,2135,3,2,0,0,1,0.666666666666667,0,0,0.333333333333333,1,0.709538052509139
"02924",2004,3,2,1,1878,875,1,0,0,0,1,0,0,0,1,1,0.465921192758253
"02924",2006,12,8,3,3239,2045,3,2,1,0,0,0.666666666666667,0.333333333333333,0,0,1,0.631367706082124
"02924",2008,4,3,2,3907,3326,2,2,0,0,0,1,0,0,0,1,0.851292551830049
"02924",2010,5,4,3,3002,2568,3,3,0,0,0,1,0,0,0,1,0.855429713524317
"02924",2012,6,5,1,1966,1768,1,1,0,0,0,1,0,0,0,1,0.899287894201424
"02924",2014,6,5,3,2733,2283,3,3,0,0,0,1,0,0,0,1,0.835345773874863
"02924",2016,2,2,1,2247,2247,1,1,0,0,0,1,0,0,0,1,1
"02924",2018,8,8,3,4265,4265,3,3,0,0,0,1,0,0,0,1,1
"03064",1998,4,1,1,16061,4277,2,1,0,0,1,0.5,0,0,0.5,0.5,0.266297241765768
"03064",2000,7,1,1,28055,6222,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.22177864908216
"03064",2002,4,2,2,13852,6973,2,1,0,0,1,0.5,0,0,0.5,1,0.503393011839446
"03064",2004,5,1,1,28430,7789,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.27397115722828
"03064",2006,7,1,1,24093,2623,4,0,0,0,4,0,0,0,1,0.25,0.108869796206367
"03064",2008,6,0,0,31224,0,3,0,0,0,3,0,0,0,1,0,0
"03064",2010,5,0,0,16779,0,2,0,0,0,2,0,0,0,1,0,0
"03064",2012,3,0,0,17826,0,2,0,0,0,2,0,0,0,1,0,0
"03064",2014,4,1,1,14607,4714,2,1,0,0,1,0.5,0,0,0.5,0.5,0.322721982611077
"03064",2016,4,0,0,20084,0,2,0,0,0,2,0,0,0,1,0,0
"03064",2018,3,0,0,19462,0,2,0,0,0,2,0,0,0,1,0,0
"03092",1998,4,0,0,6635,0,3,0,0,0,3,0,0,0,1,0,0
"03092",2000,4,0,0,6910,0,2,0,0,0,2,0,0,0,1,0,0
"03092",2004,2,0,0,11211,0,2,0,0,0,2,0,0,0,1,0,0
"03092",2008,7,0,0,8702,0,3,0,0,0,3,0,0,0,1,0,0
"03092",2010,4,0,0,7277,0,3,0,0,0,3,0,0,0,1,0,0
"03092",2012,4,0,0,6250,0,2,0,0,0,2,0,0,0,1,0,0
"03092",2013,3,0,0,1893,0,1,0,0,0,1,0,0,0,1,0,0
"03092",2014,4,0,0,5826,0,3,0,0,0,3,0,0,0,1,0,0
"03162",1998,4,1,1,8120,2411,2,1,0,0,1,0.5,0,0,0.5,0.5,0.29692118226601
"03162",2000,5,0,0,9782,0,2,0,0,0,2,0,0,0,1,0,0
"03162",2002,3,0,0,7805,0,2,0,0,0,2,0,0,0,1,0,0
"03162",2006,6,3,2,7399,3924,2,1,0,0,1,0.5,0,0,0.5,1,0.530341938099743
"03162",2008,4,1,1,10794,4107,2,1,0,0,1,0.5,0,0,0.5,0.5,0.380489160644803
"03162",2009,6,1,1,2832,1326,1,1,0,0,0,1,0,0,0,1,0.468220338983051
"03162",2010,4,1,1,8279,3033,2,1,0,0,1,0.5,0,0,0.5,0.5,0.36634859282522
"03162",2012,4,2,2,10039,5042,2,1,0,0,1,0.5,0,0,0.5,1,0.502241259089551
"03162",2014,4,1,1,6533,877,2,0,0,0,2,0,0,0,1,0.5,0.134241542935864
"03162",2016,4,1,1,10838,1716,2,0,0,0,2,0,0,0,1,0.5,0.158331795534231
"03162",2018,4,2,1,2946,961,2,1,0,0,1,0.5,0,0,0.5,0.5,0.326205023761032
"03204",2000,5,0,0,10295,0,2,0,0,0,2,0,0,0,1,0,0
