(Intercept),0.497∗∗∗,0.491∗∗∗,0.480∗∗∗,0.480∗∗∗
(,0.041) (,0.043) (,0.042) (,0.042)
Controls,Yes,Yes,Yes,Yes
R2,0.125,0.120,0.120,0.120
Adj. R2,0.124,0.119,0.119,0.120
Num. obs. 2152,8 2152,0 2152,8 2152,8
RMSE,0.313,0.314,0.314,0.313
N Clusters 217,1 217,0 217,1 217,1
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,
