GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
1600000US0616728,0616728,"Covelo CDP, California",524,82,26389,13006,70.8,10.7,29821,23348,1.3,1.9,-,**,22.3,9.8,20188,3024,0.0,6.5,-,**,0.0,6.5,-,**,0.0,6.5,-,**,5.5,5.1,62868,33968,15.5,9.2,23661,39697,58.0,10.8,31667,23742,5.3,5.0,28750,47738,32.8,12.0,43000,33278,31.1,10.1,19119,9238,30.7,10.1,28750,10464,330,75,23553,22115,39.4,14.6,15568,5258,60.6,14.6,43056,23328,53.6,14.1,43036,26684,35.2,12.3,18235,6072,11.2,9.8,46563,58588,194,78,28333,13068,35.1,16.7,31667,13032,22.7,11.8,28667,2195,12.4,14.4,-,**,64.9,16.7,19103,18102,51.5,18.0,18269,1656,13.4,15.6,-,**,26.5,(X),(X),(X),29.4,(X),(X),(X),14.9,(X),(X),(X)
1600000US0616742,0616742,"Covina city, California",15340,418,64496,3810,57.2,2.9,65201,5790,5.0,1.3,48929,30502,0.5,0.4,47308,46747,11.2,1.3,73700,8032,0.1,0.1,-,**,22.5,2.5,60758,6065,3.6,1.1,70150,38371,47.5,2.4,63590,6349,34.9,2.4,63319,5801,2.4,0.7,27727,14180,34.8,2.2,67052,10899,42.5,2.4,73221,3335,20.2,1.4,43514,4315,11155,322,73113,2910,51.0,2.7,71053,3840,49.0,2.7,76875,4189,67.9,2.6,87202,5380,23.2,2.6,39304,3165,8.9,1.5,58550,20787,4185,405,38520,5403,58.5,5.0,35924,5816,47.9,5.6,32706,4999,10.7,3.2,67750,39600,41.5,5.0,45246,13093,32.0,5.4,35727,9775,9.5,3.5,81500,17482,28.9,(X),(X),(X),29.7,(X),(X),(X),24.4,(X),(X),(X)
1600000US0616762,0616762,"Cowan CDP, California",137,54,37656,14567,49.6,33.7,33571,25122,0.0,22.3,-,**,33.6,27.6,-,**,0.0,22.3,-,**,0.0,22.3,-,**,5.1,8.6,-,**,11.7,19.0,-,**,56.9,25.9,38750,3682,27.0,24.5,95066,175405,5.1,8.6,-,**,16.1,18.9,-,**,56.9,30.5,37604,22370,21.9,25.1,-,**,94,48,25833,28653,69.1,28.9,14519,42399,30.9,28.9,26528,24342,55.3,25.7,33214,45282,33.0,26.8,-,**,11.7,17.5,-,**,43,41,-,**,44.2,55.8,-,**,0.0,46.9,-,**,44.2,55.8,-,**,55.8,55.8,-,**,55.8,55.8,-,**,0.0,46.9,-,**,61.3,(X),(X),(X),45.7,(X),(X),(X),44.2,(X),(X),(X)
1600000US0617022,0617022,"Crescent City city, California",1726,281,27885,7582,88.9,5.3,29904,8374,0.0,2.0,-,**,4.5,3.5,103750,71728,0.6,0.9,-,**,0.3,0.5,-,**,0.0,2.0,-,**,5.6,4.2,10189,6899,5.4,4.5,7355,9201,86.0,6.0,30893,8308,6.9,5.6,22969,41107,28.7,8.4,34732,15653,44.7,7.3,30278,17995,19.6,5.0,22344,9976,849,182,43554,14736,56.7,11.1,25430,11076,43.3,11.1,60845,19086,47.6,11.2,77188,19856,31.2,10.2,24076,15934,21.2,9.9,25833,49402,877,231,21736,7699,64.5,12.7,20833,5772,52.3,13.0,18987,8889,12.2,10.8,21921,18954,35.5,12.7,26060,13851,26.0,10.8,13542,9438,9.5,7.7,60087,35512,32.5,(X),(X),(X),40.8,(X),(X),(X),24.5,(X),(X),(X)
1600000US0617050,0617050,"Crescent Mills CDP, California",137,61,31655,31135,51.1,30.3,30541,12379,0.0,22.3,-,**,48.9,30.3,-,**,0.0,22.3,-,**,0.0,22.3,-,**,0.0,22.3,-,**,0.0,22.3,-,**,0.0,22.3,-,**,51.1,30.3,30541,12379,0.0,22.3,-,**,87.6,18.6,32230,80097,12.4,18.6,-,**,0.0,22.3,-,**,120,57,32230,80097,100.0,24.9,32230,80097,0.0,24.9,-,**,77.5,34.1,82675,77240,22.5,34.1,-,**,0.0,24.9,-,**,17,27,-,**,0.0,74.6,-,**,0.0,74.6,-,**,0.0,74.6,-,**,100.0,74.6,-,**,0.0,74.6,-,**,100.0,74.6,-,**,16.8,(X),(X),(X),5.0,(X),(X),(X),100.0,(X),(X),(X)
1600000US0617078,0617078,"Cressey CDP, California",102,32,53214,14037,84.3,15.9,50833,16759,0.0,28.3,-,**,0.0,28.3,-,**,2.0,3.3,-,**,0.0,28.3,-,**,13.7,15.3,-,**,0.0,28.3,-,**,29.4,18.4,61500,56723,68.6,18.8,51944,8361,0.0,28.3,-,**,31.4,18.1,51111,23864,33.3,17.4,68846,6594,35.3,16.3,21667,41072,80,30,53214,14734,21.3,17.2,12361,106708,78.8,17.2,54464,18597,78.8,12.3,67596,27786,3.8,6.1,-,**,17.5,12.2,50500,32779,22,17,17115,27140,27.3,35.3,-,**,27.3,35.3,-,**,0.0,65.6,-,**,72.7,35.3,17000,58114,13.6,24.1,-,**,59.1,44.1,-,**,33.3,(X),(X),(X),38.8,(X),(X),(X),13.6,(X),(X),(X)
1600000US0617106,0617106,"Crest CDP, California",969,99,74115,11250,94.0,5.1,75347,9146,0.0,3.5,-,**,0.9,1.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,1.9,1.5,-,**,3.2,4.9,-,**,6.9,3.1,52946,33122,89.9,5.7,77527,8974,0.0,3.5,-,**,24.5,8.5,56964,30119,49.8,8.2,88208,12274,25.7,7.1,58264,13445,668,112,79632,13757,35.3,10.7,51250,29362,64.7,10.7,89357,9259,75.3,9.3,86875,10654,13.2,7.4,42431,2504,11.5,6.5,67120,36892,301,98,47688,15866,43.5,18.0,38194,35922,32.6,15.8,46111,32399,11.0,13.4,-,**,56.5,18.0,49625,30572,51.8,18.0,48750,23601,4.7,5.8,-,**,28.2,(X),(X),(X),36.8,(X),(X),(X),9.0,(X),(X),(X)
1600000US0617162,0617162,"Crestline CDP, California",3920,347,47175,9267,92.9,3.3,48854,9172,1.3,1.3,66250,37759,1.6,1.8,-,**,0.0,0.9,-,**,0.0,0.9,-,**,2.7,2.0,34554,11842,1.5,1.3,90625,48681,10.2,3.5,40434,7258,86.0,4.3,48611,8786,1.5,1.3,33036,3939,22.6,4.7,40813,10504,44.7,5.8,61976,7253,31.3,4.6,35139,10254,2373,277,53552,4567,40.8,7.0,36508,4716,59.2,7.0,64440,25957,78.7,5.6,61852,13046,17.4,5.5,24444,21909,3.9,3.0,9417,25813,1547,231,30718,9512,43.1,10.2,25729,6527,37.8,10.4,21929,11074,5.3,4.6,47500,39245,56.9,10.2,48347,23958,44.3,9.3,35846,19812,12.7,6.8,57899,7299,28.4,(X),(X),(X),30.7,(X),(X),(X),25.0,(X),(X),(X)
1600000US0617232,0617232,"Creston CDP, California",31,26,83523,159522,100.0,55.3,83523,159862,0.0,55.3,-,**,0.0,55.3,-,**,0.0,55.3,-,**,0.0,55.3,-,**,0.0,55.3,-,**,0.0,55.3,-,**,0.0,55.3,-,**,100.0,55.3,83523,159990,0.0,55.3,-,**,0.0,55.3,-,**,35.5,43.8,-,**,64.5,43.8,-,**,11,19,-,**,100.0,92.8,-,**,0.0,92.8,-,**,100.0,92.8,-,**,0.0,92.8,-,**,0.0,92.8,-,**,20,18,-,**,55.0,55.0,-,**,55.0,55.0,-,**,0.0,68.8,-,**,45.0,55.0,-,**,45.0,55.0,-,**,0.0,68.8,-,**,29.0,(X),(X),(X),0.0,(X),(X),(X),45.0,(X),(X),(X)
1600000US0617267,0617267,"C-Road CDP, California",82,47,78796,29747,58.5,32.8,78148,41136,0.0,33.2,-,**,0.0,33.2,-,**,13.4,20.9,-,**,0.0,33.2,-,**,12.2,18.3,-,**,15.9,25.0,-,**,12.2,18.3,-,**,58.5,32.8,78148,41136,0.0,33.2,-,**,13.4,20.9,-,**,58.5,30.8,79167,16000,28.0,28.6,33036,38180,65,48,79583,7169,32.3,41.6,-,**,67.7,41.6,81364,13464,100.0,38.2,79583,7169,0.0,38.2,-,**,0.0,38.2,-,**,17,19,-,**,100.0,74.6,-,**,100.0,74.6,-,**,0.0,74.6,-,**,0.0,74.6,-,**,0.0,74.6,-,**,0.0,74.6,-,**,58.5,(X),(X),(X),47.7,(X),(X),(X),100.0,(X),(X),(X)
