Proportion Alone,−1.321**,−0.498,−0.155,,,
,(0.501),(0.449),(0.211),,,
Quantile(Proportion Alone),,,,−1.677+,−0.603,−0.169
,,,,(0.936),(0.775),(0.352)
imes First Election,−1.198,−0.324,0.170,−1.634,−0.516,−0.199
,(1.013),(0.528),(0.227),(1.709),(0.685),(0.321)
Post-Redistricting (2022+),−0.533,−0.611*,−0.035,−0.563,−0.622*,−0.038
,(0.398),(0.254),(0.118),(0.398),(0.260),(0.121)
N,324,324,324,324,324,324
Election Period FE,X,X,X,X,X,X
