,H1: Main e,ffect,,H2: SRS inter,action
,Model 1,Model 2,,Model 3,Model
Treatment,−0.002,−0.001,,−0.019,−0.020
,(0.011),(0.011),,(0.016),(0.016)
Symbolic racism score,,,,−0.242∗∗∗,−0.226∗
,,,,(0.037),(0.039)
Treatment x SRS,,,,0.054,0.054
,,,,(0.039),(0.039)
"Housing support, pretreatment",0.835∗∗∗,0.785∗∗∗,,0.751∗∗∗,0.735∗
,(0.014),(0.017),,(0.019),(0.020)
Non-white,,0.010,,,0.004
,,(0.010),,,(0.010)
Income (cont.),,−0.002,,,−0.003
,,(0.002),,,(0.002)
Female,,0.011,,,0.007
,,(0.010),,,(0.009)
College or more,,−0.009,,,−0.012
,,(0.010),,,(0.010)
"Republican (-1, 1)",,−0.035∗∗∗,,,−0.010
,,(0.006),,,(0.007)
Intercept,0.080∗∗∗,0.115∗∗∗,,0.215∗∗∗,0.242∗
,(0.013),(0.019),,(0.022),(0.026)
R2,0.687,0.694,,0.709,0.708
Adj. R2,0.687,0.692,,0.708,0.706
Num. obs. 14,10 13,86 1,4,10 13,86
RMSE,0.177,0.176,,0.171,0.172
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,,,,
