,,Model 1,Model 2,Model 3,Model
Demographic Change,00-20,−0.004,−0.025,0.024,0.002
,,(0.030),(0.028),(0.030),(0.025)
Non-white,,0.088∗∗,0.046,0.056,−0.009
,,(0.032),(0.033),(0.038),(0.034)
Demo. Change 00-20,x Non-white,−0.091,−0.059,−0.088,−0.045
,,(0.056),(0.055),(0.055),(0.051)
Income (cont.),,,−0.006,,0.007
,,,(0.005),,(0.004)
Female (bi.),,,0.043,,0.039
,,,(0.025),,(0.022)
College or more,,,−0.021,,0.027
,,,(0.025),,(0.022)
Age,,,−0.000,,−0.001
,,,(0.001),,(0.001)
"Republican (-1, 1)",,,−0.115∗∗∗,,−0.168∗
,,,(0.014),,(0.012)
Intercept,,0.654∗∗∗,0.668∗∗∗,0.425∗∗∗,0.378∗
,,(0.020),(0.051),(0.021),(0.049)
R2,,0.011,0.142,0.005,0.277
Adj. R2,,0.006,0.130,−0.001,0.266
Num. obs.,,566 5,52 5,66 5,52
RMSE,,0.302,0.284,0.297,0.255
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p,< 0.05,,,,
3: Housing and immi,gration support,among long-ti,me homeowne,rs in racially,changin
spondent race (Study,"1, RQ3).",,,,
