Treatment,0.012,0.012
,(0.027),(0.023)
Non-white,0.106∗∗∗,0.057∗
,(0.024),(0.022)
Treatment x Non-white,−0.047,−0.048
,(0.034),(0.031)
Income (cont.),,−0.017∗
,,(0.004)
Female (bi.),,−0.002
,,(0.015)
College or more,,−0.008
,,(0.016)
"Republican (-1, 1)",,−0.140∗
,,(0.009)
Intercept,0.522∗∗∗,0.599∗
,(0.019),(0.022)
R2,0.017,0.204
Adj. R2,0.015,0.199
Num. obs. 15,03 14,54
RMSE,0.322,0.290
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,
