,Anger,Disgust,Sympathy,Fear,Hope
Treatment,−0.005,−0.009,0.037∗,0.015,0.057∗
,(0.010),(0.010),(0.017),(0.011),(0.018)
Non-white,0.036∗∗∗,0.038∗∗∗,−0.009,0.030∗∗,0.046∗
,(0.010),(0.010),(0.018),(0.011),(0.019)
Income (cont.),0.000,0.001,−0.010∗,−0.005,0.002
,(0.003),(0.003),(0.004),(0.003),(0.005)
Female,−0.015,−0.010,−0.027,−0.016,0.010
,(0.010),(0.010),(0.017),(0.011),(0.018)
College or more,0.002,0.011,0.049∗∗,0.018,0.020
,(0.011),(0.010),(0.018),(0.011),(0.019)
"Republican (-1, 1)",0.020∗∗,0.023∗∗∗,−0.061∗∗∗,0.022∗∗,0.004
,(0.007),(0.007),(0.010),(0.007),(0.011)
Intercept,0.065∗∗∗,0.049∗∗∗,0.306∗∗∗,0.081∗∗∗,0.372∗
,(0.013),(0.013),(0.024),(0.015),(0.025)
R2,0.016,0.022,0.035,0.017,0.012
Adj. R2,0.012,0.017,0.031,0.013,0.008
Num. obs. 14,54 14,54 1,455 14,54 14,55
RMSE,0.198,0.194,0.326,0.213,0.347
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p <,0.05,,,,
