location,year,total,single,multi,multiTwo,multiThreeFour,multiFivePlus
ADELANTO,2018,16,16,0,0,0,0
ADELANTO,2017,90,90,0,0,0,0
ADELANTO,2016,6,6,0,0,0,0
ADELANTO,2015,116,116,0,0,0,0
ADELANTO,2014,34,34,0,0,0,0
ADELANTO,2013,58,58,0,0,0,0
ADELANTO,2012,20,20,0,0,0,0
ADELANTO,2011,24,24,0,0,0,0
ADELANTO,2010,54,54,0,0,0,0
ADELANTO,2009,41,41,0,0,0,0
ADELANTO,2008,1,1,0,0,0,0
ADELANTO,2007,307,307,0,0,0,0
ADELANTO,2006,329,329,0,0,0,0
ADELANTO,2005,1101,1101,0,0,0,0
ADELANTO,2004,900,900,0,0,0,0
ADELANTO,2003,367,367,0,0,0,0
ADELANTO,2002,327,327,0,0,0,0
ADELANTO,2001,96,96,0,0,0,0
ADELANTO,2000,0,0,0,0,0,0
ADELANTO,1999,0,0,0,0,0,0
ADELANTO,1998,11,11,0,0,0,0
ADELANTO,1997,95,95,0,0,0,0
ADELANTO,1996,151,151,0,0,0,0
ADELANTO,1995,207,207,0,0,0,0
ADELANTO,1994,404,404,0,0,0,0
ADELANTO,1993,542,542,0,0,0,0
ADELANTO,1992,966,966,0,0,0,0
ADELANTO,1991,507,507,0,0,0,0
ADELANTO,1990,157,157,0,0,0,0
ADELANTO,1989,42,42,0,0,0,0
ADELANTO,1988,115,35,80,0,0,80
ADELANTO,1987,15,15,0,0,0,0
ADELANTO,1986,670,205,465,60,60,345
ADELANTO,1985,229,42,187,26,43,118
ADELANTO,1984,183,38,145,6,51,88
ADELANTO,1983,377,27,350,74,127,149
ADELANTO,1982,172,27,145,34,3,108
ADELANTO,1981,50,12,38,22,11,5
ADELANTO,1980,12,0,12,8,4,0
AGOURA HILLS,2018,3,3,0,0,0,0
AGOURA HILLS,2017,3,3,0,0,0,0
AGOURA HILLS,2016,3,3,0,0,0,0
AGOURA HILLS,2015,2,2,0,0,0,0
AGOURA HILLS,2014,33,33,0,0,0,0
AGOURA HILLS,2013,18,13,5,0,0,5
AGOURA HILLS,2012,0,0,0,0,0,0
AGOURA HILLS,2011,2,2,0,0,0,0
AGOURA HILLS,2010,24,24,0,0,0,0
AGOURA HILLS,2009,2,2,0,0,0,0
AGOURA HILLS,2008,2,2,0,0,0,0
AGOURA HILLS,2007,7,7,0,0,0,0
AGOURA HILLS,2006,5,5,0,0,0,0
AGOURA HILLS,2005,2,2,0,0,0,0
AGOURA HILLS,2004,26,26,0,0,0,0
AGOURA HILLS,2003,342,6,336,0,0,336
AGOURA HILLS,2002,10,10,0,0,0,0
AGOURA HILLS,2001,35,35,0,0,0,0
AGOURA HILLS,2000,180,20,160,0,0,160
AGOURA HILLS,1999,7,7,0,0,0,0
AGOURA HILLS,1998,2,2,0,0,0,0
AGOURA HILLS,1997,3,3,0,0,0,0
AGOURA HILLS,1996,2,2,0,0,0,0
AGOURA HILLS,1995,0,0,0,0,0,0
AGOURA HILLS,1994,2,2,0,0,0,0
AGOURA HILLS,1993,2,2,0,0,0,0
AGOURA HILLS,1992,2,2,0,0,0,0
AGOURA HILLS,1991,0,0,0,0,0,0
AGOURA HILLS,1990,0,0,0,0,0,0
AGOURA HILLS,1989,0,0,0,0,0,0
AGOURA HILLS,1988,0,0,0,0,0,0
AGOURA HILLS,1987,0,0,0,0,0,0
AGOURA HILLS,1986,0,0,0,0,0,0
AGOURA HILLS,1985,0,0,0,0,0,0
AGOURA HILLS,1984,0,0,0,0,0,0
AGOURA HILLS,1983,0,0,0,0,0,0
AGOURA HILLS,1982,0,0,0,0,0,0
AGOURA HILLS,1981,0,0,0,0,0,0
AGOURA HILLS,1980,0,0,0,0,0,0
ALAMEDA,2018,31,31,0,0,0,0
ALAMEDA,2017,56,46,10,0,0,10
ALAMEDA,2016,90,59,31,0,0,31
ALAMEDA,2015,181,118,63,0,8,55
ALAMEDA,2014,57,5,52,0,0,52
ALAMEDA,2013,37,1,36,0,0,36
ALAMEDA,2012,0,0,0,0,0,0
ALAMEDA,2011,24,24,0,0,0,0
ALAMEDA,2010,16,16,0,0,0,0
ALAMEDA,2009,3,3,0,0,0,0
ALAMEDA,2008,2,2,0,0,0,0
ALAMEDA,2007,106,104,2,2,0,0
ALAMEDA,2006,116,112,4,4,0,0
ALAMEDA,2005,151,149,2,2,0,0
ALAMEDA,2004,83,83,0,0,0,0
ALAMEDA,2003,67,59,8,8,0,0
ALAMEDA,2002,83,79,4,4,0,0
ALAMEDA,2001,32,30,2,2,0,0
ALAMEDA,2000,5,3,2,2,0,0
ALAMEDA,1999,62,62,0,0,0,0
ALAMEDA,1998,51,51,0,0,0,0
ALAMEDA,1997,206,202,4,4,0,0
ALAMEDA,1996,111,111,0,0,0,0
ALAMEDA,1995,178,178,0,0,0,0
ALAMEDA,1994,9,5,4,4,0,0
ALAMEDA,1993,10,10,0,0,0,0
ALAMEDA,1992,54,46,8,8,0,0
ALAMEDA,1991,70,66,4,4,0,0
ALAMEDA,1990,89,89,0,0,0,0
ALAMEDA,1989,228,222,6,6,0,0
ALAMEDA,1988,140,134,6,6,0,0
ALAMEDA,1987,718,710,8,8,0,0
ALAMEDA,1986,219,219,0,0,0,0
ALAMEDA,1985,382,368,14,14,0,0
ALAMEDA,1984,396,392,4,4,0,0
ALAMEDA,1983,326,322,4,4,0,0
ALAMEDA,1982,87,87,0,0,0,0
ALAMEDA,1981,129,127,2,2,0,0
ALAMEDA,1980,168,164,4,4,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2018,121,36,85,2,71,12
ALAMEDA COUNTY UNINCORPORATED AREA,2017,86,33,53,0,12,41
ALAMEDA COUNTY UNINCORPORATED AREA,2016,32,22,10,10,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2015,136,43,93,10,6,77
ALAMEDA COUNTY UNINCORPORATED AREA,2014,30,30,0,0,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2013,107,22,85,0,0,85
ALAMEDA COUNTY UNINCORPORATED AREA,2012,11,11,0,0,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2011,50,10,40,0,0,40
ALAMEDA COUNTY UNINCORPORATED AREA,2010,9,9,0,0,0,0
ALAMEDA COUNTY UNINCORPORATED AREA,2009,36,26,10,0,0,10
ALAMEDA COUNTY UNINCORPORATED AREA,2008,54,41,13,6,7,0
ALAMEDA COUNTY UNINCORPORATED AREA,2007,206,49,157,4,15,138
ALAMEDA COUNTY UNINCORPORATED AREA,2006,320,79,241,12,22,207
ALAMEDA COUNTY UNINCORPORATED AREA,2005,122,101,21,0,3,18
ALAMEDA COUNTY UNINCORPORATED AREA,2004,134,83,51,8,10,33
ALAMEDA COUNTY UNINCORPORATED AREA,2003,294,212,82,0,26,56
ALAMEDA COUNTY UNINCORPORATED AREA,2002,206,173,33,2,12,19
ALAMEDA COUNTY UNINCORPORATED AREA,2001,138,128,10,6,4,0
ALAMEDA COUNTY UNINCORPORATED AREA,2000,241,177,64,2,10,52
ALAMEDA COUNTY UNINCORPORATED AREA,1999,2268,2244,24,8,4,12
ALAMEDA COUNTY UNINCORPORATED AREA,1998,503,485,18,2,9,7
ALAMEDA COUNTY UNINCORPORATED AREA,1997,387,317,70,0,54,16
ALAMEDA COUNTY UNINCORPORATED AREA,1996,556,398,158,0,32,126
ALAMEDA COUNTY UNINCORPORATED AREA,1995,315,276,39,4,27,8
ALAMEDA COUNTY UNINCORPORATED AREA,1994,191,180,11,6,0,5
ALAMEDA COUNTY UNINCORPORATED AREA,1993,240,169,71,8,3,60
ALAMEDA COUNTY UNINCORPORATED AREA,1992,328,163,165,16,26,123
ALAMEDA COUNTY UNINCORPORATED AREA,1991,276,164,112,10,39,63
ALAMEDA COUNTY UNINCORPORATED AREA,1990,377,238,139,14,25,100
ALAMEDA COUNTY UNINCORPORATED AREA,1989,683,406,277,20,72,185
ALAMEDA COUNTY UNINCORPORATED AREA,1988,725,346,379,14,64,301
ALAMEDA COUNTY UNINCORPORATED AREA,1987,678,380,298,20,84,194
ALAMEDA COUNTY UNINCORPORATED AREA,1986,881,420,461,16,48,397
ALAMEDA COUNTY UNINCORPORATED AREA,1985,856,438,418,8,24,386
ALAMEDA COUNTY UNINCORPORATED AREA,1984,466,302,164,0,25,139
ALAMEDA COUNTY UNINCORPORATED AREA,1983,674,342,332,26,58,248
ALAMEDA COUNTY UNINCORPORATED AREA,1982,466,271,195,6,21,168
ALAMEDA COUNTY UNINCORPORATED AREA,1981,602,506,96,14,40,42
ALAMEDA COUNTY UNINCORPORATED AREA,1980,511,393,118,6,53,59
ALBANY,2018,9,9,0,0,0,0
ALBANY,2017,9,9,0,0,0,0
ALBANY,2016,178,3,175,0,0,175
ALBANY,2015,6,6,0,0,0,0
ALBANY,2014,3,3,0,0,0,0
ALBANY,2013,2,2,0,0,0,0
ALBANY,2012,1,1,0,0,0,0
ALBANY,2011,6,3,3,0,3,0
ALBANY,2010,5,1,4,0,4,0
ALBANY,2009,0,0,0,0,0,0
ALBANY,2008,2,2,0,0,0,0
ALBANY,2007,7,4,3,0,3,0
ALBANY,2006,53,3,50,0,0,50
ALBANY,2005,8,8,0,0,0,0
ALBANY,2004,6,6,0,0,0,0
ALBANY,2003,4,4,0,0,0,0
ALBANY,2002,14,2,12,0,0,12
ALBANY,2001,21,21,0,0,0,0
ALBANY,2000,2,2,0,0,0,0
ALBANY,1999,16,0,16,2,8,6
ALBANY,1998,3,3,0,0,0,0
ALBANY,1997,5,3,2,2,0,0
ALBANY,1996,3,3,0,0,0,0
ALBANY,1995,4,4,0,0,0,0
ALBANY,1994,1,1,0,0,0,0
ALBANY,1993,3,3,0,0,0,0
ALBANY,1992,4,1,3,0,3,0
ALBANY,1991,3,3,0,0,0,0
ALBANY,1990,2,2,0,0,0,0
ALBANY,1989,17,10,7,4,3,0
ALBANY,1988,3,0,3,0,3,0
ALBANY,1987,11,4,7,0,7,0
ALBANY,1986,251,0,251,0,0,251
ALBANY,1985,34,0,34,0,4,30
ALBANY,1984,14,7,7,0,7,0
ALBANY,1983,3,3,0,0,0,0
ALBANY,1982,105,2,103,0,0,103
ALBANY,1981,12,12,0,0,0,0
ALBANY,1980,18,18,0,0,0,0
ALHAMBRA,2018,34,34,0,0,0,0
ALHAMBRA,2017,78,50,28,8,0,20
ALHAMBRA,2016,37,23,14,0,0,14
ALHAMBRA,2015,273,9,264,4,0,260
ALHAMBRA,2014,17,11,6,6,0,0
ALHAMBRA,2013,159,1,158,2,4,152
ALHAMBRA,2012,7,3,4,4,0,0
ALHAMBRA,2011,100,12,88,0,8,80
ALHAMBRA,2010,57,13,44,2,12,30
ALHAMBRA,2009,73,17,56,6,0,50
ALHAMBRA,2008,92,17,75,0,12,63
ALHAMBRA,2007,78,19,59,14,10,35
ALHAMBRA,2006,33,21,12,4,8,0
ALHAMBRA,2005,217,36,181,10,10,161
ALHAMBRA,1981,426,2,424,12,43,369
ALHAMBRA,1980,475,7,468,4,80,384
ALISO VIEJO,2018,0,0,0,0,0,0
ALISO VIEJO,2017,250,0,250,0,0,250
ALISO VIEJO,2016,200,0,200,0,0,200
ALISO VIEJO,2015,637,0,637,0,0,637
ALISO VIEJO,2014,0,0,0,0,0,0
ALISO VIEJO,2013,34,34,0,0,0,0
ALISO VIEJO,2012,133,133,0,0,0,0
ALISO VIEJO,2011,126,105,21,0,0,21
ALISO VIEJO,2010,109,59,50,0,0,50
ALISO VIEJO,2009,107,93,14,0,0,14
ALISO VIEJO,2008,108,53,55,0,8,47
ALISO VIEJO,2007,78,66,12,0,0,12
ALISO VIEJO,2006,117,37,80,0,4,76
ALISO VIEJO,2005,0,0,0,0,0,0
ALISO VIEJO,2004,0,0,0,0,0,0
ALISO VIEJO,2003,0,0,0,0,0,0
ALISO VIEJO,2002,20,20,0,0,0,0
ALISO VIEJO,2001,0,0,0,0,0,0
ALISO VIEJO,2000,0,0,0,0,0,0
ALISO VIEJO,1999,0,0,0,0,0,0
ALISO VIEJO,1998,0,0,0,0,0,0
ALISO VIEJO,1997,0,0,0,0,0,0
ALISO VIEJO,1996,0,0,0,0,0,0
ALISO VIEJO,1995,0,0,0,0,0,0
ALISO VIEJO,1994,0,0,0,0,0,0
ALISO VIEJO,1993,0,0,0,0,0,0
ALISO VIEJO,1992,0,0,0,0,0,0
ALISO VIEJO,1991,0,0,0,0,0,0
ALISO VIEJO,1990,0,0,0,0,0,0
ALISO VIEJO,1989,0,0,0,0,0,0
ALISO VIEJO,1988,0,0,0,0,0,0
ALISO VIEJO,1987,0,0,0,0,0,0
ALISO VIEJO,1986,0,0,0,0,0,0
ALISO VIEJO,1985,0,0,0,0,0,0
ALISO VIEJO,1984,0,0,0,0,0,0
ALISO VIEJO,1983,0,0,0,0,0,0
ALISO VIEJO,1982,0,0,0,0,0,0
ALISO VIEJO,1981,0,0,0,0,0,0
ALISO VIEJO,1980,0,0,0,0,0,0
ALPINE COUNTY,2018,4,4,0,0,0,0
ALPINE COUNTY,2017,9,9,0,0,0,0
ALPINE COUNTY,2016,2,2,0,0,0,0
ALPINE COUNTY,2015,4,4,0,0,0,0
ALPINE COUNTY,2014,3,3,0,0,0,0
ALPINE COUNTY,2013,0,0,0,0,0,0
ALPINE COUNTY,2012,1,1,0,0,0,0
ALPINE COUNTY,2011,3,3,0,0,0,0
ALPINE COUNTY,2010,4,4,0,0,0,0
ALPINE COUNTY,2009,7,7,0,0,0,0
ALPINE COUNTY,2008,8,8,0,0,0,0
ALPINE COUNTY,2007,35,15,20,0,0,20
ALPINE COUNTY,2006,31,31,0,0,0,0
ALPINE COUNTY,2005,16,16,0,0,0,0
ALPINE COUNTY,2004,22,22,0,0,0,0
ALPINE COUNTY,2003,28,21,7,0,0,7
ALPINE COUNTY,2002,62,26,36,0,0,36
ALPINE COUNTY,2001,54,28,26,0,0,26
ALPINE COUNTY,2000,25,25,0,0,0,0
ALPINE COUNTY,1999,59,29,30,0,0,30
ALPINE COUNTY,1998,66,26,40,0,0,40
ALPINE COUNTY,1997,9,9,0,0,0,0
ALPINE COUNTY,1996,32,13,19,0,0,19
ALPINE COUNTY,1995,20,20,0,0,0,0
ALPINE COUNTY,1994,20,18,2,2,0,0
ALPINE COUNTY,1993,21,11,10,0,0,10
ALPINE COUNTY,1992,16,16,0,0,0,0
ALPINE COUNTY,1991,10,10,0,0,0,0
ALPINE COUNTY,1990,15,15,0,0,0,0
ALPINE COUNTY,1989,9,9,0,0,0,0
ALPINE COUNTY,1988,15,15,0,0,0,0
ALPINE COUNTY,1987,16,16,0,0,0,0
ALPINE COUNTY,1986,10,10,0,0,0,0
ALPINE COUNTY,1985,83,7,76,0,0,76
ALPINE COUNTY,1984,11,11,0,0,0,0
ALPINE COUNTY,1983,7,7,0,0,0,0
ALPINE COUNTY,1982,19,19,0,0,0,0
ALPINE COUNTY,1981,31,11,20,0,0,20
ALPINE COUNTY,1980,15,15,0,0,0,0
ALTURAS,2018,0,0,0,0,0,0
ALTURAS,2017,0,0,0,0,0,0
ALTURAS,2016,1,1,0,0,0,0
ALTURAS,2015,0,0,0,0,0,0
ALTURAS,2014,0,0,0,0,0,0
ALTURAS,2013,0,0,0,0,0,0
ALTURAS,2012,0,0,0,0,0,0
ALTURAS,2011,0,0,0,0,0,0
ALTURAS,2010,1,1,0,0,0,0
ALTURAS,2009,1,1,0,0,0,0
ALTURAS,2008,0,0,0,0,0,0
ALTURAS,2007,0,0,0,0,0,0
ALTURAS,2006,1,1,0,0,0,0
ALTURAS,2005,2,2,0,0,0,0
ALTURAS,2004,2,2,0,0,0,0
ALTURAS,2003,0,0,0,0,0,0
ALTURAS,2002,0,0,0,0,0,0
ALTURAS,2001,0,0,0,0,0,0
ALTURAS,2000,0,0,0,0,0,0
ALTURAS,1999,0,0,0,0,0,0
ALTURAS,1998,0,0,0,0,0,0
ALTURAS,1997,0,0,0,0,0,0
ALTURAS,1996,0,0,0,0,0,0
ALTURAS,1995,0,0,0,0,0,0
ALTURAS,1994,0,0,0,0,0,0
ALTURAS,1993,0,0,0,0,0,0
ALTURAS,1992,0,0,0,0,0,0
ALTURAS,1991,0,0,0,0,0,0
ALTURAS,1990,0,0,0,0,0,0
ALTURAS,1989,0,0,0,0,0,0
ALTURAS,1988,0,0,0,0,0,0
ALTURAS,1987,0,0,0,0,0,0
ALTURAS,1986,0,0,0,0,0,0
ALTURAS,1985,0,0,0,0,0,0
ALTURAS,1984,0,0,0,0,0,0
ALTURAS,1983,0,0,0,0,0,0
ALTURAS,1982,0,0,0,0,0,0
ALTURAS,1981,0,0,0,0,0,0
ALTURAS,1980,0,0,0,0,0,0
AMADOR CITY,2018,0,0,0,0,0,0
AMADOR CITY,2017,0,0,0,0,0,0
AMADOR CITY,2016,0,0,0,0,0,0
AMADOR CITY,2015,0,0,0,0,0,0
AMADOR CITY,2014,1,1,0,0,0,0
AMADOR CITY,2013,1,1,0,0,0,0
AMADOR CITY,2012,0,0,0,0,0,0
AMADOR CITY,2011,0,0,0,0,0,0
AMADOR CITY,2010,1,1,0,0,0,0
AMADOR CITY,2009,0,0,0,0,0,0
AMADOR CITY,2008,0,0,0,0,0,0
AMADOR CITY,2007,0,0,0,0,0,0
AMADOR CITY,2006,0,0,0,0,0,0
AMADOR CITY,2005,0,0,0,0,0,0
AMADOR CITY,2004,4,4,0,0,0,0
AMADOR CITY,2003,1,1,0,0,0,0
AMADOR CITY,2002,1,1,0,0,0,0
AMADOR CITY,2001,1,1,0,0,0,0
AMADOR CITY,2000,0,0,0,0,0,0
AMADOR CITY,1999,1,1,0,0,0,0
AMADOR CITY,1998,0,0,0,0,0,0
AMADOR CITY,1997,0,0,0,0,0,0
AMADOR CITY,1996,0,0,0,0,0,0
AMADOR CITY,1995,1,1,0,0,0,0
AMADOR CITY,1994,1,1,0,0,0,0
AMADOR CITY,1993,58,29,29,0,29,0
AMADOR CITY,1992,46,27,19,0,19,0
AMADOR CITY,1991,42,21,21,0,21,0
AMADOR CITY,1990,36,24,12,0,12,0
AMADOR CITY,1989,38,26,12,0,12,0
AMADOR CITY,1988,8,2,6,0,6,0
AMADOR CITY,1987,6,3,3,0,3,0
AMADOR CITY,1986,5,1,4,0,4,0
AMADOR CITY,1985,1,1,0,0,0,0
AMADOR CITY,1984,2,2,0,0,0,0
AMADOR CITY,1983,2,2,0,0,0,0
AMADOR CITY,1982,1,1,0,0,0,0
AMADOR CITY,1981,0,0,0,0,0,0
AMADOR CITY,1980,0,0,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2018,26,26,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2017,36,36,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2016,22,22,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2015,22,22,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2014,19,19,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2013,11,11,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2012,6,6,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2011,18,18,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2010,18,18,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2009,22,22,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2008,59,57,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,2007,96,96,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2006,147,143,4,0,4,0
AMADOR COUNTY UNINCORPORATED AREA,2005,268,268,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2004,289,274,15,10,0,5
AMADOR COUNTY UNINCORPORATED AREA,2003,270,270,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2002,217,217,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,2001,158,156,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,2000,176,170,6,6,0,0
AMADOR COUNTY UNINCORPORATED AREA,1999,143,131,12,8,4,0
AMADOR COUNTY UNINCORPORATED AREA,1998,106,106,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1997,90,90,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1996,99,99,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1995,175,175,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1994,141,131,10,6,4,0
AMADOR COUNTY UNINCORPORATED AREA,1993,172,168,4,4,0,0
AMADOR COUNTY UNINCORPORATED AREA,1992,222,216,6,6,0,0
AMADOR COUNTY UNINCORPORATED AREA,1991,287,287,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1990,275,273,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,1989,226,224,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,1988,204,202,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,1987,273,269,4,4,0,0
AMADOR COUNTY UNINCORPORATED AREA,1986,196,187,9,4,0,5
AMADOR COUNTY UNINCORPORATED AREA,1985,195,193,2,2,0,0
AMADOR COUNTY UNINCORPORATED AREA,1984,240,206,34,4,4,26
AMADOR COUNTY UNINCORPORATED AREA,1983,183,171,12,0,12,0
AMADOR COUNTY UNINCORPORATED AREA,1982,266,158,108,4,20,84
AMADOR COUNTY UNINCORPORATED AREA,1981,194,194,0,0,0,0
AMADOR COUNTY UNINCORPORATED AREA,1980,256,254,2,2,0,0
AMERICAN CANYON,2018,162,3,159,0,0,159
AMERICAN CANYON,2017,70,0,70,22,36,12
AMERICAN CANYON,2016,0,0,0,0,0,0
AMERICAN CANYON,2015,0,0,0,0,0,0
AMERICAN CANYON,2014,0,0,0,0,0,0
AMERICAN CANYON,2013,0,0,0,0,0,0
AMERICAN CANYON,2012,28,28,0,0,0,0
AMERICAN CANYON,2011,30,30,0,0,0,0
AMERICAN CANYON,2010,32,32,0,0,0,0
AMERICAN CANYON,2009,65,65,0,0,0,0
AMERICAN CANYON,2008,67,67,0,0,0,0
AMERICAN CANYON,2007,40,40,0,0,0,0
AMERICAN CANYON,2006,223,78,145,0,4,141
AMERICAN CANYON,2005,251,251,0,0,0,0
AMERICAN CANYON,2004,581,365,216,0,0,216
AMERICAN CANYON,2003,310,310,0,0,0,0
AMERICAN CANYON,2002,375,375,0,0,0,0
AMERICAN CANYON,2001,547,547,0,0,0,0
AMERICAN CANYON,2000,164,164,0,0,0,0
AMERICAN CANYON,1999,75,75,0,0,0,0
AMERICAN CANYON,1998,16,16,0,0,0,0
AMERICAN CANYON,1997,2,2,0,0,0,0
AMERICAN CANYON,1996,0,0,0,0,0,0
AMERICAN CANYON,1995,22,22,0,0,0,0
AMERICAN CANYON,1994,76,76,0,0,0,0
AMERICAN CANYON,1993,21,21,0,0,0,0
AMERICAN CANYON,1992,30,30,0,0,0,0
AMERICAN CANYON,1991,0,0,0,0,0,0
AMERICAN CANYON,1990,0,0,0,0,0,0
AMERICAN CANYON,1989,0,0,0,0,0,0
AMERICAN CANYON,1988,0,0,0,0,0,0
AMERICAN CANYON,1987,0,0,0,0,0,0
AMERICAN CANYON,1986,0,0,0,0,0,0
AMERICAN CANYON,1985,0,0,0,0,0,0
AMERICAN CANYON,1984,0,0,0,0,0,0
AMERICAN CANYON,1983,0,0,0,0,0,0
AMERICAN CANYON,1982,0,0,0,0,0,0
AMERICAN CANYON,1981,0,0,0,0,0,0
AMERICAN CANYON,1980,0,0,0,0,0,0
ANAHEIM,2018,572,121,451,2,19,430
ANAHEIM,2017,909,72,837,2,3,832
ANAHEIM,2016,939,129,810,2,11,797
ANAHEIM,2015,1000,36,964,2,20,942
ANAHEIM,2014,1241,51,1190,4,43,1143
ANAHEIM,2013,420,56,364,2,20,342
ANAHEIM,2012,170,125,45,0,0,45
ANAHEIM,2011,147,41,106,0,0,106
ANAHEIM,2010,87,59,28,0,8,20
ANAHEIM,2009,307,32,275,0,8,267
ANAHEIM,2008,506,27,479,6,4,469
ANAHEIM,2007,875,35,840,6,11,823
ANAHEIM,2006,678,81,597,4,22,571
ANAHEIM,2005,718,63,655,12,29,614
ANAHEIM,2004,227,86,141,2,16,123
ANAHEIM,2003,373,255,118,4,25,89
ANAHEIM,2002,401,151,250,0,3,247
ANAHEIM,2001,79,75,4,0,4,0
ANAHEIM,2000,314,114,200,0,0,200
ANAHEIM,1999,540,441,99,0,8,91
ANAHEIM,1998,513,421,92,6,11,75
ANAHEIM,1997,413,285,128,0,0,128
ANAHEIM,1996,610,334,276,28,16,232
ANAHEIM,1995,603,567,36,0,0,36
ANAHEIM,1994,476,385,91,6,16,69
ANAHEIM,1993,620,350,270,2,32,236
ANAHEIM,1992,600,365,235,2,33,200
ANAHEIM,1991,1188,267,921,10,127,784
ANAHEIM,1990,527,124,403,16,61,326
ANAHEIM,1989,2298,901,1397,12,165,1220
ANAHEIM,1988,1779,224,1555,6,58,1491
ANAHEIM,1987,1868,125,1743,8,18,1717
ANAHEIM,1986,1425,252,1173,8,31,1134
ANAHEIM,1985,1653,621,1032,10,108,914
ANAHEIM,1984,1112,539,573,18,115,440
ANAHEIM,1983,1116,491,625,6,61,558
ANAHEIM,1982,1070,375,695,22,27,646
ANAHEIM,1981,391,189,202,14,110,78
ANAHEIM,1980,983,713,270,14,93,163
ANDERSON,2018,29,29,0,0,0,0
ANDERSON,2017,63,63,0,0,0,0
ANDERSON,2016,81,30,51,4,0,47
ANDERSON,2015,24,24,0,0,0,0
ANDERSON,2014,23,21,2,2,0,0
ANDERSON,2013,30,30,0,0,0,0
ANDERSON,2012,24,24,0,0,0,0
ANDERSON,2011,13,13,0,0,0,0
ANDERSON,2010,24,24,0,0,0,0
ANDERSON,2009,15,15,0,0,0,0
ANDERSON,2008,82,3,79,0,0,79
ANDERSON,2007,20,20,0,0,0,0
ANDERSON,2006,114,34,80,0,0,80
ANDERSON,2005,42,40,2,2,0,0
ANDERSON,2004,72,68,4,0,4,0
ANDERSON,2003,207,55,152,10,4,138
ANDERSON,2002,174,90,84,0,0,84
ANDERSON,2001,56,56,0,0,0,0
ANDERSON,2000,22,22,0,0,0,0
ANDERSON,1999,42,42,0,0,0,0
ANDERSON,1998,35,35,0,0,0,0
ANDERSON,1997,19,12,7,4,3,0
ANDERSON,1996,5,5,0,0,0,0
ANDERSON,1995,24,20,4,4,0,0
ANDERSON,1994,53,45,8,8,0,0
ANDERSON,1993,54,22,32,0,32,0
ANDERSON,1992,19,7,12,4,8,0
ANDERSON,1991,67,35,32,32,0,0
ANDERSON,1990,44,38,6,6,0,0
ANDERSON,1989,66,6,60,12,8,40
ANDERSON,1988,25,13,12,12,0,0
ANDERSON,1987,57,15,42,0,0,42
ANDERSON,1986,124,100,24,0,8,16
ANDERSON,1985,32,30,2,2,0,0
ANDERSON,1984,41,41,0,0,0,0
ANDERSON,1983,8,6,2,2,0,0
ANDERSON,1982,9,9,0,0,0,0
ANDERSON,1981,8,8,0,0,0,0
ANDERSON,1980,38,6,32,8,24,0
ANGELS,2018,22,22,0,0,0,0
ANGELS,2017,23,23,0,0,0,0
ANGELS,2016,16,16,0,0,0,0
ANGELS,2015,4,4,0,0,0,0
ANGELS,2014,2,2,0,0,0,0
ANGELS,2013,4,4,0,0,0,0
ANGELS,2012,1,1,0,0,0,0
ANGELS,2011,2,2,0,0,0,0
ANGELS,2010,1,1,0,0,0,0
ANGELS,2009,2,2,0,0,0,0
ANGELS,2008,2,2,0,0,0,0
ANGELS,2007,16,16,0,0,0,0
ANGELS,2006,24,24,0,0,0,0
ANGELS,2005,56,56,0,0,0,0
ANGELS,2004,50,50,0,0,0,0
ANGELS,2003,62,56,6,0,0,6
ANGELS,2002,52,52,0,0,0,0
ANGELS,2001,61,61,0,0,0,0
ANGELS,2000,89,89,0,0,0,0
