city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,23414102,950 S ANAHEIM BLVD,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,23414109,970 S ANAHEIM BLVD,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,23414110,954 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25107123,551 S ANAHEIM BLVD,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,25107124,549 S ANAHEIM BLVD,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,25108102,501 S OLIVE ST,1,12,0,12,12,0,12,0,,,,,,2013,0,by right change,,
Anaheim,25108102,501 S OLIVE ST,1,9,0,9,9,0,9,0,,,,,,2013,0,by right change,,
Anaheim,25108122,518 S CLAUDINA ST,1,36,0,36,36,0,36,0,,,,,,2013,0,by right change,,
Anaheim,25108123,512 S CLAUDINA ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25108126,510 S CLAUDINA ST,1,46,0,46,46,0,46,0,,,,,,2013,0,by right change,,
Anaheim,25109213,701 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25109214,705 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25109215,709 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25109216,713 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25109217,717 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25109219,109 W SOUTH ST,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,25109220,725 S ANAHEIM BLVD,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,25110103,622 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25110104,626 S ANAHEIM BLVD,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,25110105,630 S ANAHEIM BLVD,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,25110106,702 S ANAHEIM BLVD,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,25110107,710 S ANAHEIM BLVD,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,25110108,722 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,25110109,726 S ANAHEIM BLVD,1,1,1,0,1,1,0,0,,,,,,2013,0,by right change,,
Anaheim,34335160,1703 N BUBACH ST,1,46,0,46,46,0,46,0,,,,,,2013,0,by right change,,
Anaheim,26833106,2930 E FRONTERA ST,1,64,0,64,64,0,64,0,,,,,,2013,0,by right change,,
Anaheim,2683312,2930 E FRONTERA ST,1,28,0,28,28,0,28,0,,,,,,2013,0,by right change,,
Anaheim,13745122,2307 S MANCHESTER AVE,1,36,0,36,36,0,36,0,,,,,,2013,0,by right change,,
Anaheim,13745124,2323 S MANCHESTER AVE,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,13745125,2333 S MANCHESTER AVE,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,Platinum Tri 1,1331 E Katella Ave,1,26,0,26,26,0,26,0,,,,,,2012,1,platinum triangle change,,
Anaheim,Platinum Tri 2,2343 E Cerritos Ave,1,26,0,26,26,0,26,0,,,,,,2012,1,platinum triangle change,,
Anaheim,Platinum Tri 3,2121 S Towne Centre Pl,1,26,0,26,26,0,26,0,,,,,,2012,1,platinum triangle change,,
Anaheim,Platinum Tri 1,1331 E Katella Ave,1,13,0,13,13,0,13,0,,,,,,2014,1,platinum triangle change,,
Anaheim,Platinum Tri 2,2343 E Cerritos Ave,1,13,0,13,13,0,13,0,,,,,,2014,1,platinum triangle change,,
Anaheim,Platinum Tri 3,2121 S Towne Centre Pl,1,13,0,13,13,0,13,0,,,,,,2014,1,platinum triangle change,,
