Table,1: Summary of Local Media Conten,t Analy,sis
Category,N /,value,% of
Close-read arti,cles (search hits),1118,.
Relevant: win,d deployment,300,26.8
Relevant: loca,l project focus,203,67.7
Local project:,reports local opposition,143,70.4
Sampled days,with ≥ 1 opposition story (%),72,.
Distinct munic,ipalities mentioned (of 98),43,43.9
