GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",647,95,561,92,7,12,0,12,14,16,0,12,43,44,22,23,0,12,22,23
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",612,87,405,86,26,43,0,12,31,22,0,12,136,52,14,15,0,12,14,15
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",358,85,287,75,0,12,0,12,32,30,0,12,16,19,23,36,0,12,23,36
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",752,94,637,101,0,12,12,19,55,44,0,12,38,32,10,16,0,12,10,16
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",465,94,414,87,0,12,0,12,43,32,0,12,8,13,0,12,0,12,0,12
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",933,135,730,163,0,12,0,12,11,17,0,12,170,123,22,31,0,12,22,31
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",1397,140,1134,141,69,58,0,12,61,66,0,12,133,95,0,12,0,12,0,12
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",365,65,249,56,0,12,0,12,40,36,0,12,43,32,33,32,0,12,33,32
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",892,76,585,90,21,22,0,12,139,53,0,12,97,50,50,47,0,12,50,47
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",411,83,377,82,0,12,0,12,17,20,0,12,8,12,9,16,0,12,9,16
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",416,70,330,68,19,28,0,12,67,31,0,12,0,12,0,12,0,12,0,12
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",320,74,286,70,0,12,0,12,0,12,0,12,26,41,8,14,8,14,0,12
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",300,79,295,79,0,12,0,12,0,12,0,12,5,10,0,12,0,12,0,12
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",401,106,353,89,0,12,0,12,0,12,0,12,48,58,0,12,0,12,0,12
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",592,89,500,72,0,12,0,12,68,61,0,12,24,24,0,12,0,12,0,12
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",493,82,409,76,11,17,0,12,23,27,0,12,13,20,37,34,0,12,37,34
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",689,27,601,53,0,12,0,12,35,29,0,12,16,24,37,32,0,12,37,32
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",865,121,681,134,10,14,0,12,126,40,11,20,37,41,0,12,0,12,0,12
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",403,117,388,120,0,12,0,12,15,26,0,12,0,12,0,12,0,12,0,12
1500000US060371021051,060371021051,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",263,53,204,54,0,12,0,12,16,15,0,12,31,29,12,13,6,8,6,9
1500000US060371021052,060371021052,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",305,57,159,53,18,19,11,12,29,30,0,12,88,52,0,12,0,12,0,12
1500000US060371021071,060371021071,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",773,100,585,95,0,12,10,15,68,44,8,13,94,41,8,14,0,12,8,14
1500000US060371021072,060371021072,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",456,91,371,89,42,65,0,12,43,33,0,12,0,12,0,12,0,12,0,12
1500000US060371031011,060371031011,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",550,56,484,61,0,12,5,7,51,26,0,12,10,11,0,12,0,12,0,12
1500000US060371031012,060371031012,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",369,45,322,48,6,9,0,12,6,9,0,12,9,12,26,21,0,12,26,21
1500000US060371031021,060371031021,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",222,69,145,56,0,12,0,12,59,53,0,12,0,12,18,19,0,12,18,19
1500000US060371031022,060371031022,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",285,77,260,80,0,12,8,12,17,30,0,12,0,12,0,12,0,12,0,12
1500000US060371031023,060371031023,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",409,126,262,80,0,12,0,12,126,99,0,12,10,14,11,18,0,12,11,18
1500000US060371031024,060371031024,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",275,79,196,54,0,12,0,12,46,52,0,12,33,45,0,12,0,12,0,12
1500000US060371031025,060371031025,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",422,88,324,77,0,12,0,12,84,67,0,12,6,10,8,13,0,12,8,13
1500000US060371032001,060371032001,"Block Group 1, Census Tract 1032, Los Angeles County, California",686,143,462,147,111,110,0,12,83,82,0,12,30,38,0,12,0,12,0,12
1500000US060371032002,060371032002,"Block Group 2, Census Tract 1032, Los Angeles County, California",650,134,592,126,0,12,0,12,41,47,0,12,17,28,0,12,0,12,0,12
1500000US060371032003,060371032003,"Block Group 3, Census Tract 1032, Los Angeles County, California",902,152,767,163,34,38,0,12,12,24,0,12,33,53,56,62,0,12,56,62
1500000US060371033001,060371033001,"Block Group 1, Census Tract 1033, Los Angeles County, California",584,81,518,83,9,13,10,16,25,24,0,12,0,12,22,22,10,15,12,15
1500000US060371033002,060371033002,"Block Group 2, Census Tract 1033, Los Angeles County, California",614,80,558,91,0,12,0,12,38,40,0,12,9,14,9,16,0,12,9,16
1500000US060371034001,060371034001,"Block Group 1, Census Tract 1034, Los Angeles County, California",453,106,346,97,48,42,0,12,0,12,26,43,33,40,0,12,0,12,0,12
1500000US060371034002,060371034002,"Block Group 2, Census Tract 1034, Los Angeles County, California",268,107,255,104,0,12,0,12,0,12,0,12,0,12,13,23,0,12,13,23
1500000US060371034003,060371034003,"Block Group 3, Census Tract 1034, Los Angeles County, California",209,104,177,89,0,12,0,12,32,51,0,12,0,12,0,12,0,12,0,12
1500000US060371034004,060371034004,"Block Group 4, Census Tract 1034, Los Angeles County, California",460,140,460,140,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371034005,060371034005,"Block Group 5, Census Tract 1034, Los Angeles County, California",1085,164,858,163,91,73,18,28,103,55,0,12,15,25,0,12,0,12,0,12
