,Budget,,
,,Budget,Budget
Policy,Negative Ne,utral (%) Po,sitive (
,(%),,
Affordable Housing,39.0%,31.5%,29.5%
Zoning Reform,16.5%,25.3%,57.3%
Rent Control,36.6%,57.9%,5.5%
