GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US060371011101,060371011101,"Block Group 1, Census Tract 1011.10, Los Angeles County, California",54688,17763
1500000US060371011102,060371011102,"Block Group 2, Census Tract 1011.10, Los Angeles County, California",46158,7812
1500000US060371011103,060371011103,"Block Group 3, Census Tract 1011.10, Los Angeles County, California",66900,16187
1500000US060371011221,060371011221,"Block Group 1, Census Tract 1011.22, Los Angeles County, California",100000,16503
1500000US060371011222,060371011222,"Block Group 2, Census Tract 1011.22, Los Angeles County, California",104044,16504
1500000US060371012101,060371012101,"Block Group 1, Census Tract 1012.10, Los Angeles County, California",39186,7777
1500000US060371012102,060371012102,"Block Group 2, Census Tract 1012.10, Los Angeles County, California",44650,5353
1500000US060371012201,060371012201,"Block Group 1, Census Tract 1012.20, Los Angeles County, California",61080,12427
1500000US060371012202,060371012202,"Block Group 2, Census Tract 1012.20, Los Angeles County, California",33077,7318
1500000US060371013001,060371013001,"Block Group 1, Census Tract 1013, Los Angeles County, California",78854,22965
1500000US060371013002,060371013002,"Block Group 2, Census Tract 1013, Los Angeles County, California",89340,21803
1500000US060371013003,060371013003,"Block Group 3, Census Tract 1013, Los Angeles County, California",77647,48357
1500000US060371013004,060371013004,"Block Group 4, Census Tract 1013, Los Angeles County, California",76193,22896
1500000US060371014001,060371014001,"Block Group 1, Census Tract 1014, Los Angeles County, California",52917,45505
1500000US060371014002,060371014002,"Block Group 2, Census Tract 1014, Los Angeles County, California",66193,29981
1500000US060371014003,060371014003,"Block Group 3, Census Tract 1014, Los Angeles County, California",46546,26628
1500000US060371021031,060371021031,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",60625,25401
1500000US060371021041,060371021041,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",89324,17006
1500000US060371021042,060371021042,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",75000,17223
