"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant"
"1600000US0609324","Butte Valley CDP, California","245","83","231","82","14","23"
"1600000US0609822","California Hot Springs CDP, California","69","22","20","13","49","19"
"1600000US0609834","California Pines CDP, California","395","114","268","109","127","78"
"1600000US0677588","Taft Heights CDP, California","918","120","750","116","168","95"
"1600000US0606728","Biola CDP, California","340","56","327","55","13","20"
"1600000US0669112","Santa Cruz city, California","24251","641","22363","653","1888","365"
"1600000US0612524","Ceres city, California","13332","380","12888","369","444","144"
"1600000US0632506","Hawaiian Gardens city, California","4016","189","3855","167","161","83"
"1600000US0640340","La Puente city, California","9654","297","9318","248","336","119"
"1600000US0648914","Monterey Park city, California","21304","394","19892","414","1412","251"
"1600000US0655618","Paramount city, California","15041","411","14452","396","589","174"
"1600000US0666140","San Fernando city, California","6893","313","6551","290","342","129"
"1600000US0670000","Santa Monica city, California","50901","948","45487","772","5414","629"
"1600000US0672996","South El Monte city, California","5306","205","5161","197","145","70"
"1600000US0673080","South Gate city, California","24385","483","23926","448","459","135"
"1600000US0673220","South Pasadena city, California","10893","363","10007","316","886","228"
"1600000US0684200","West Covina city, California","31946","526","30513","490","1433","265"
"1600000US0684410","West Hollywood city, California","25781","852","23538","652","2243","569"
"1600000US0629000","Garden Grove city, California","49261","717","48031","646","1230","214"
"1600000US0639248","Laguna Niguel city, California","27140","577","25360","517","1780","362"
"1600000US0686832","Yorba Linda city, California","23016","432","22366","364","650","233"
"1600000US0612612","Challenge-Brownsville CDP, California","513","157","401","152","112","73"
"1600000US0641572","Linda CDP, California","6848","225","6506","231","342","127"
"1600000US0685012","Wheatland city, California","1362","100","1332","100","30","47"
"1600000US0669196","Santa Maria city, California","28798","552","27651","563","1147","279"
"1600000US0608758","Buellton city, California","1960","230","1872","222","88","77"
"1600000US0631414","Guadalupe city, California","2089","177","2014","161","75","56"
"1600000US0669070","Santa Barbara city, California","39457","675","36699","632","2758","443"
"1600000US0649446","Moss Beach CDP, California","1202","192","1163","196","39","62"
"1600000US0623532","Fall River Mills CDP, California","256","96","139","77","117","76"
"1600000US0626056","French Gulch CDP, California","207","41","187","37","20","15"
"1600000US0677700","Tahoe Vista CDP, California","1574","61","493","82","1081","88"
"1600000US0636658","Inyokern CDP, California","366","150","273","136","93","76"
"1600000US0609066","Burlingame city, California","12755","331","12029","287","726","227"
"1600000US0665070","San Carlos city, California","11843","263","11327","226","516","167"
"1600000US0673262","South San Francisco city, California","22164","486","21083","484","1081","299"
"1600000US0621600","Edwards AFB CDP, California","749","54","652","65","97","58"
"1600000US0625534","Frazier Park CDP, California","1373","130","1032","138","341","120"
"1600000US0644924","McKittrick CDP, California","47","17","47","17","0","12"
"1600000US0673815","Squirrel Mountain Valley CDP, California","557","145","493","132","64","76"
"1600000US0683863","Weedpatch CDP, California","685","66","631","65","54","38"
"1600000US0648046","Mira Monte CDP, California","3084","242","2820","250","264","143"
"1600000US0654652","Oxnard city, California","55148","842","51460","771","3688","526"
"1600000US0606982","Black Point-Green Point CDP, California","658","73","646","75","12","18"
"1600000US0644399","Lucas Valley-Marinwood CDP, California","2436","60","2436","60","0","17"
"1600000US0662980","Ross town, California","905","31","807","57","98","47"
"1600000US0667070","San Geronimo CDP, California","176","75","176","75","0","12"
"1600000US0677805","Tamalpais-Homestead Valley CDP, California","4695","154","4515","200","180","130"
"1600000US0686216","Woodacre CDP, California","737","126","722","127","15","23"
"1600000US0630798","Grass Valley city, California","6505","382","5992","327","513","232"
"1600000US0656518","Penn Valley CDP, California","677","189","560","174","117","131"
"1600000US0631162","Greenville CDP, California","539","120","460","110","79","81"
"1600000US0639420","Lake Almanor Peninsula CDP, California","597","96","175","53","422","94"
"1600000US0678008","Taylorsville CDP, California","117","80","81","70","36","42"
"1600000US0678792","Tobin CDP, California","0","12","0","12","0","12"
"1600000US0657582","Planada CDP, California","1329","107","1232","115","97","63"
"1600000US0686076","Winton CDP, California","3270","163","3132","176","138","80"
"1600000US0608338","Broadmoor CDP, California","1578","144","1578","144","0","17"
"1600000US0614736","Colma town, California","496","60","477","62","19","21"
"1600000US0622587","Emerald Lake Hills CDP, California","1619","92","1582","98","37","38"
"1600000US0607218","Blythe city, California","6314","309","4970","285","1344","174"
"1600000US0686440","Woodside town, California","2142","119","1899","99","243","71"
"1600000US0609332","Buttonwillow CDP, California","469","76","426","76","43","30"
"1600000US0661012","Ripley CDP, California","342","63","181","56","161","49"
"1600000US0661124","River Pines CDP, California","215","112","215","112","0","12"
"1600000US0662168","Robbins CDP, California","131","34","112","33","19","17"
"1600000US0662200","Robinson Mill CDP, California","84","80","35","26","49","76"
"1600000US0662496","Rodriguez Camp CDP, California","32","18","32","18","0","12"
"1600000US0662625","Rolling Hills CDP, California","323","73","323","73","0","12"
"1600000US0662860","Rose Hills CDP, California","1029","44","997","67","32","53"
"1600000US0663106","Rough and Ready CDP, California","367","157","367","157","0","12"
"1600000US0663168","Rouse CDP, California","661","115","582","116","79","71"
"1600000US0663386","Ruth CDP, California","324","53","89","41","235","42"
"1600000US0663400","Rutherford CDP, California","49","31","30","20","19","24"
"1600000US0664252","Salmon Creek CDP, California","102","57","10","15","92","56"
"1600000US0664392","Samoa CDP, California","123","36","99","33","24","17"
"1600000US0668263","San Miguel CDP (Contra Costa County), California","1153","123","1082","116","71","63"
"1600000US0668266","San Miguel CDP (San Luis Obispo County), California","871","178","807","184","64","66"
"1600000US0668308","San Pasqual CDP, California","996","26","895","49","101","42"
"1600000US0668434","San Simeon CDP, California","347","95","267","93","80","69"
"1600000US0669182","Santa Margarita CDP, California","525","171","525","171","0","12"
"1600000US0670028","Santa Nella CDP, California","634","101","608","106","26","41"
"1600000US0670130","Santa Rosa Valley CDP, California","1200","90","1108","91","92","71"
"1600000US0670336","Sattley CDP, California","68","59","68","59","0","12"
"1600000US0670140","Santa Susana CDP, California","386","75","379","76","7","10"
"1600000US0670266","Saranap CDP, California","2520","154","2464","157","56","63"
"1600000US0670322","Saticoy CDP, California","270","59","245","60","25","29"
"1600000US0670518","Scotia CDP, California","251","76","216","74","35","28"
"1600000US0670644","Seacliff CDP, California","1946","68","1493","152","453","135"
"1600000US0670712","Sea Ranch CDP, California","1908","60","601","94","1307","100"
"1600000US0670966","Sequoia Crest CDP, California","93","78","15","22","78","83"
"1600000US0671000","Sereno del Mar CDP, California","142","65","41","25","101","60"
"1600000US0671078","Seville CDP, California","155","42","139","42","16","13"
"1600000US0671218","Shasta CDP, California","754","95","695","94","59","40"
"1600000US0671362","Shell Ridge CDP, California","464","106","448","106","16","26"
"1600000US0671372","Shelter Cove CDP, California","521","179","314","163","207","116"
"1600000US0600135","Acalanes Ridge CDP, California","287","78","287","78","0","12"
"1600000US0600156","Acampo CDP, California","138","112","138","112","0","12"
"1600000US0600310","Adin CDP, California","128","43","84","39","44","25"
"1600000US0600450","Agua Dulce CDP, California","1260","89","1161","94","99","69"
"1600000US0600464","Aguanga CDP, California","554","210","337","146","217","160"
"1600000US0600478","Ahwahnee CDP, California","1063","155","911","152","152","134"
"1600000US0600535","Airport CDP, California","482","92","461","90","21","33"
"1600000US0600716","Albion CDP, California","98","61","84","66","14","24"
"1600000US0600786","Alderpoint CDP, California","75","42","75","42","0","12"
"1600000US0600898","Alhambra Valley CDP, California","277","77","270","77","7","18"
"1600000US0600982","Alleghany CDP, California","53","60","30","45","23","37"
"1600000US0600996","Allendale CDP, California","555","95","519","89","36","45"
"1600000US0601010","Allensworth CDP, California","138","34","128","32","10","9"
"1600000US0601276","Alta CDP, California","297","55","204","50","93","39"
"1600000US0601416","Alto CDP, California","371","112","304","91","67","80"
"1600000US0602028","Anchor Bay CDP, California","349","87","169","74","180","85"
"1600000US0602210","Antelope CDP, California","14724","147","14399","211","325","148"
"1600000US0602294","Anza CDP, California","1313","276","1041","246","272","155"
"1600000US0602910","Artois CDP, California","117","51","110","50","7","11"
"1600000US0603026","Aspen Springs CDP, California","17","18","17","18","0","12"
"1600000US0603205","Auburn Lake Trails CDP, California","1480","157","1365","153","115","111"
"1600000US0603512","Baker CDP, California","221","46","180","40","41","24"
"1600000US0603694","Ballard CDP, California","181","42","160","41","21","19"
"1600000US0603708","Ballico CDP, California","140","43","140","43","0","12"
"1600000US0603792","Bangor CDP, California","214","61","149","54","65","39"
"1600000US0604198","Bass Lake CDP, California","963","162","229","102","734","145"
"1600000US0604470","Bayview CDP (Contra Costa County), California","610","118","610","118","0","12"
"1600000US0604478","Bayview CDP (Humboldt County), California","1163","121","1022","123","141","79"
"1600000US0604632","Bear Creek CDP, California","73","38","73","38","0","12"
"1600000US0604716","Bear Valley CDP (Alpine County), California","483","66","24","16","459","67"
"1600000US0604730","Bear Valley CDP (Mariposa County), California","84","47","84","47","0","12"
"1600000US0604926","Bella Vista CDP, California","1127","90","969","95","158","72"
"1600000US0604938","Bell Canyon CDP, California","743","78","723","79","20","22"
"1600000US0605262","Benbow CDP, California","112","62","79","54","33","38"
"1600000US0605276","Bend CDP, California","249","86","202","74","47","56"
"1600000US0605346","Benton CDP, California","135","62","134","63","1","2"
"1600000US0671414","Sheridan CDP, California","547","156","406","146","141","103"
"1600000US0671774","Sierra Brooks CDP, California","116","49","105","46","11","17"
"1600000US0671778","Sierra City CDP, California","420","96","76","33","344","92"
"1600000US0671834","Sierra Village CDP, California","563","218","195","132","368","146"
"1600000US0671848","Sierraville CDP, California","107","44","55","34","52","44"
"1600000US0671927","Silverado Resort CDP, California","1285","146","465","102","820","159"
"1600000US0671932","Silver City CDP, California","38","26","0","12","38","26"
"1600000US0672184","Sleepy Hollow CDP, California","758","98","743","96","15","26"
"1600000US0671964","Silver Lakes CDP, California","2769","234","2330","252","439","154"
"1600000US0672086","Sisquoc CDP, California","59","21","59","21","0","12"
"1600000US0672156","Sky Valley CDP, California","1901","125","1023","143","878","118"
"1600000US0672282","Smartsville CDP, California","67","45","67","45","0","12"
"1600000US0672338","Smith Corner CDP, California","117","75","117","75","0","12"
"1600000US0609948","Callender CDP, California","546","135","546","135","0","12"
"1600000US0609990","Calpella CDP, California","238","68","189","62","49","55"
"1600000US0610004","Calpine CDP, California","180","73","102","60","78","61"
"1600000US0610042","Camanche North Shore CDP, California","370","86","318","76","52","57"
"1600000US0610044","Camanche Village CDP, California","240","75","240","75","0","12"
"1600000US0610270","Camino CDP, California","851","107","684","111","167","101"
"1600000US0610301","Camino Tassajara CDP, California","1126","150","1077","153","49","70"
