"State board, limited input −",0.103∗∗∗ −,0.104∗
,(0.017),(0.017)
Homeowner,−,0.005
,,(0.020)
"White, non-Hispanic",,0.018
,,(0.020)
Income (cont.),,0.006
,,(0.003)
Female (bi.),−,0.003
,,(0.017)
College or more,,0.041∗
,,(0.019)
Age,−,0.002∗
,,(0.001)
"Republican (-1, 1)",−,0.046∗
,,(0.010)
(Intercept),0.546∗∗∗,0.550∗
,(0.012),(0.035)
R2,0.035,0.081
Adj. R2,0.034,0.073
Num. obs. 9,64 9,56
RMSE,0.270,0.265
∗∗∗p < 0.001; ∗∗p < 0.01; ∗p < 0.05,,
