"GEO_ID","NAME","B25026_001E","B25026_001M","B25026_002E","B25026_002M","B25026_003E","B25026_003M","B25026_004E","B25026_004M","B25026_005E","B25026_005M","B25026_006E","B25026_006M","B25026_007E","B25026_007M","B25026_008E","B25026_008M","B25026_009E","B25026_009M","B25026_010E","B25026_010M","B25026_011E","B25026_011M","B25026_012E","B25026_012M","B25026_013E","B25026_013M","B25026_014E","B25026_014M","B25026_015E","B25026_015M"
"id","Geographic Area Name","Estimate!!Total population in occupied housing units","Margin of Error!!Total population in occupied housing units","Estimate!!Total population in occupied housing units!!Owner occupied","Margin of Error!!Total population in occupied housing units!!Owner occupied","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Owner occupied!!Moved in 1989 or earlier","Estimate!!Total population in occupied housing units!!Renter occupied","Margin of Error!!Total population in occupied housing units!!Renter occupied","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2017 or later","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2015 to 2016","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2010 to 2014","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 2000 to 2009","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1990 to 1999","Estimate!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier","Margin of Error!!Total population in occupied housing units!!Renter occupied!!Moved in 1989 or earlier"
"1600000US0646828","Mendota city, California","11393","22","4075","767","0","19","95","147","716","395","1503","505","591","323","1170","349","7318","764","428","379","1006","564","3566","741","2151","547","131","110","36","49"
"1600000US0680266","Tranquillity CDP, California","839","294","380","274","0","12","87","138","197","223","18","28","0","12","78","81","459","217","88","136","87","136","227","199","0","12","0","12","57","68"
"1600000US0604996","Bell Gardens city, California","42233","218","9665","914","42","64","259","167","1302","500","3691","755","2123","497","2248","467","32568","934","745","346","4059","782","12912","1170","10454","1139","3409","651","989","400"
"1600000US0616742","Covina city, California","47956","145","27626","1185","484","232","1595","474","6191","975","8475","1193","6032","961","4849","648","20330","1222","1256","464","2880","661","9941","1195","5039","947","904","298","310","154"
"1600000US0618352","Del Aire CDP, California","10041","712","6705","658","302","280","260","228","1301","397","1798","576","1978","561","1066","278","3336","844","128","101","405","310","1739","689","917","558","147","103","0","19"
"1600000US0619766","Downey city, California","112240","167","60335","2233","744","519","1738","480","12775","1388","19411","2020","15079","1814","10588","1008","51905","2270","3257","980","7205","1156","26334","2113","11266","1420","2893","685","950","356"
"1600000US0630000","Glendale city, California","198709","330","70510","2272","949","380","4044","963","11855","1366","25673","1990","14682","1379","13307","1177","128199","2267","6297","866","19559","1653","56680","2612","31202","2121","10545","1178","3916","750"
"1600000US0645400","Manhattan Beach city, California","35540","99","26443","977","404","219","1329","460","6720","846","7965","1057","4562","630","5463","536","9097","967","1263","506","1757","411","4130","689","1338","360","401","187","208","211"
"1600000US0646492","Maywood city, California","27418","119","7913","859","35","67","492","281","855","424","2243","539","2309","651","1979","464","19505","838","232","144","1778","532","8818","1148","6166","975","1908","518","603","307"
"1600000US0648648","Monrovia city, California","36783","144","16666","1015","172","107","838","352","3287","808","5117","838","4200","678","3052","577","20117","998","849","425","3344","773","9749","1162","5343","855","573","241","259","224"
"1600000US0655156","Palmdale city, California","156680","77","102145","2638","3472","959","9336","1378","25099","2416","42105","2221","16574","1587","5559","685","54535","2630","2750","731","11666","1703","29154","2455","9382","1343","1163","412","420","275"
"1600000US0659052","Quartz Hill CDP, California","10125","766","6902","727","209","208","569","306","1448","403","2687","574","1030","331","959","199","3223","659","40","51","510","337","2022","563","531","312","93","81","27","47"
"1600000US0660018","Redondo Beach city, California","67554","60","35919","1620","1041","410","2390","577","8002","933","11108","1150","7509","1023","5869","564","31635","1614","2302","567","5557","979","16390","1435","5531","1028","1142","334","713","312"
"1600000US0668224","San Marino city, California","13179","53","11068","595","135","122","309","212","1605","552","4026","717","2126","569","2867","619","2111","583","171","162","346","204","1412","587","161","141","0","19","21","33"
"1600000US0669154","Santa Fe Springs city, California","17607","58","12160","514","65","48","488","202","2753","479","3378","568","2706","594","2770","514","5447","515","173","126","850","330","2267","492","1772","417","297","181","88","61"
"1600000US0671806","Sierra Madre city, California","11001","53","7599","572","77","74","528","253","1518","561","2251","578","1532","470","1693","328","3402","573","57","52","476","258","1671","454","916","418","178","111","104","92"
"1600000US0667042","San Gabriel city, California","39660","227","18121","1137","209","145","576","237","2557","611","6392","910","3655","560","4732","755","21539","1125","1082","368","2117","483","10247","1076","5770","972","1565","534","758","395"
"1600000US0600562","Alameda city, California","77265","223","39391","1571","1000","420","2414","482","7040","878","12079","1131","8679","1038","8179","903","37874","1586","2087","483","5378","732","17828","1066","9534","1210","1838","448","1209","588"
"1600000US0600674","Albany city, California","19694","55","9476","643","119","83","610","262","1303","314","3941","558","1841","352","1662","309","10218","638","1093","353","1948","423","4906","639","1976","488","217","107","78","48"
"1600000US0644574","Lynwood city, California","68178","472","31619","1767","251","211","1452","506","4859","1071","10125","1611","7977","1324","6955","1071","36559","1806","755","476","4617","910","15412","1406","10610","1342","3936","1008","1229","480"
"1600000US0623350","Fairview CDP, California","10103","616","8600","629","91","82","265","223","1806","492","3369","734","1209","362","1860","405","1503","464","35","59","238","186","823","410","261","181","96","78","50","58"
"1600000US0668112","San Lorenzo CDP, California","25293","856","18064","950","139","121","1212","459","3794","738","5563","792","3193","721","4163","632","7229","1029","261","178","421","220","3956","815","2097","653","252","188","242","130"
"1600000US0618856","Denair CDP, California","5131","659","3584","692","57","57","172","141","1121","590","1388","554","377","477","469","238","1547","569","0","17","145","161","813","424","567","482","22","36","0","17"
"1600000US0652694","Oakdale city, California","22356","81","13438","1118","366","330","1559","619","2543","690","5507","924","2117","689","1346","455","8918","1117","633","413","1229","576","4640","1118","1664","621","597","509","155","127"
"1600000US0644000","Los Angeles city, California","3873375","2490","1556221","12161","27658","2138","76704","3474","291967","5917","497456","8829","324881","5720","337555","7140","2317154","11885","122099","3996","331777","7246","999894","11874","561142","7972","229066","6138","73176","3186"
"1600000US0655380","Palos Verdes Estates city, California","13493","36","11645","458","252","198","606","280","2972","640","2711","578","2231","357","2873","401","1848","463","187","121","593","299","691","268","206","154","46","54","125","126"
"1600000US0662644","Rolling Hills Estates city, California","8187","41","7651","205","92","69","609","256","2109","420","2106","316","1322","278","1413","290","536","195","15","23","170","107","216","101","96","87","11","16","28","37"
"1600000US0673962","Stanton city, California","38307","75","17096","1278","354","159","1274","439","3805","849","6736","1106","2712","573","2215","565","21211","1280","942","410","2716","776","9055","1166","6902","1295","1193","479","403","342"
"1600000US0660606","Richgrove CDP, California","2611","273","1230","234","27","40","0","12","43","65","380","166","469","154","311","166","1381","264","77","48","104","67","545","176","483","195","160","108","12","16"
"1600000US0639178","Laguna Beach city, California","23081","53","15224","846","279","233","699","241","3094","469","4248","758","3588","621","3316","447","7857","844","471","201","1752","668","3942","679","1264","389","267","111","161","96"
"1600000US0657526","Placentia city, California","51537","152","32742","1254","451","253","2402","639","6409","916","11216","1035","6473","805","5791","667","18795","1226","1101","486","2936","620","9466","1213","3927","762","994","440","371","223"
"1600000US0620018","Dublin city, California","57295","332","39609","1227","1055","366","5130","755","14563","1086","12115","996","3799","604","2947","630","17686","1178","2709","733","4501","712","8157","931","1773","478","546","392","0","29"
"1600000US0622594","Emeryville city, California","11719","56","4009","450","149","94","402","148","1122","293","1196","237","620","206","520","188","7710","448","1149","252","2342","339","2787","362","1101","264","140","105","191","204"
"1600000US0616532","Costa Mesa city, California","111268","312","44905","1655","951","360","2127","557","9463","925","12131","1245","10538","1258","9695","1074","66363","1594","5218","938","11774","1290","30688","1969","11843","1305","5348","1101","1492","543"
"1600000US0653980","Orange city, California","132617","484","75046","2090","1742","536","3985","778","13514","1508","25032","1787","18129","1619","12644","1121","57571","2057","4076","888","9967","1400","27329","1988","12668","1499","2215","588","1316","814"
"1600000US0601150","Alondra Park CDP, California","8062","908","4037","382","86","125","185","135","619","272","1124","364","1065","337","958","213","4025","853","277","189","1035","590","1487","658","936","536","202","157","88","93"
"1600000US0601290","Altadena CDP, California","44567","1397","30814","1621","434","250","1079","408","5467","881","8107","1021","8063","1135","7664","1024","13753","1259","1346","668","1148","441","5330","1101","3209","835","1877","688","843","454"
"1600000US0613756","Claremont city, California","31459","402","21748","901","435","265","1122","331","3891","735","6907","857","5112","907","4281","575","9711","908","768","348","1984","583","4614","685","1921","506","229","113","195","168"
"1600000US0622230","El Monte city, California","114395","326","48356","1911","391","228","1282","422","6440","1141","17218","1757","13304","1721","9721","1151","66039","1985","2698","948","6779","1097","28295","2344","19039","2031","7755","1354","1473","428"
"1600000US0630014","Glendora city, California","50758","241","35235","1156","798","317","2377","574","5791","771","10766","962","7134","780","8369","717","15523","1123","1026","445","2211","433","8439","1094","2884","654","565","284","398","210"
"1600000US0636056","Huntington Park city, California","58542","62","18233","1158","217","134","568","293","2338","768","5675","1025","5163","804","4272","579","40309","1154","1538","375","3592","707","16502","1552","12031","1215","4534","814","2112","598"
"1600000US0639612","Lake Los Angeles CDP, California","11421","708","7096","867","28","44","1004","503","1598","512","2027","562","1634","534","805","299","4325","946","0","19","402","282","2362","693","1071","459","378","267","112","96"
